SHA256,Type,FileName,Date,ThreatActor
779b3e1a470e589d492b99154ba11622fbaebb19b3de694f660c725411b7096d,SHA256,driver-html.js,Aug-26,TA412
ff1b49aaec994f4c11f2c9331e739abb4bc3d6abf66ec50ce99709fba35d782b,SHA256,BlueMoon exploit JavaScript,Aug-26,TA412
7d6f6dcb17a423bdd7715f8a4e34f2939501a761bc9bf7aa005f805ef1f82288,SHA256,ChromeUpdate.exe (or msgbox.exe),Aug-26,TA412
e950d03c58d49e28e31df8afeefca1f3b3d2cd6b697c40adfee1a4f6fe18f004,SHA256,dist.zip,Aug-26,TA412
353b5bd2780c1b0c07c1283d83cf16cf1e9ec226c17b2d09d56848893f9d98ee,SHA256,background.js,Aug-26,TA412
a4a6a04d85eca8d584d939d2437c85a4f291207d8042f2ec002838e336b72ef5,SHA256,Index.js (BlueMoon exploit JavaScript),Sept-26,UNK_LateNight
295fc584f75e94108c9be945977db33ed80421f5d374eab188587c911dffd915,SHA256,msgbox.exe,Sept-26,UNK_LateNight
bc7d24f5cf8937b334966201bdcce8ca9bab6ec5889d40a399d4094dcad73360,SHA256,mctsetup64.dll,Sept-26,UNK_LateNight
b34802a646fc4a8f07ffa09a5fda8bf7327446b22e3d7bb5163dafa1e2a8bb2b,SHA256,Loader.js (BlueMoon exploit JavaScript),Sept-26,UNK_QuietRacket
8453c42904b7b2fea5671b7bff06b2d937632ae29545fd11bc13095627a2805f,SHA256,Indostartupexpo.js (BlueMoon exploit JavaScript),Sept-26,UNK_QuietRacket
f3c64014221a58f3fde88e562662dbd5a1b3dd2b59c86e9e2bc5cb8f671664e7,SHA256,GFExperienceUpdate.dll,Sept-26,UNK_QuietRacket
87b6b24c06f99900a8aa579caedee1e402015884c925a98dcfb0fb38dfa2de22,SHA256,GFExperienceUpdate.dll,Sept-26,UNK_QuietRacket
ac6bbc4b1f1c62e308781329183a46e18f454c27e66bffa09f343b53ac622b69,SHA256,font-01.js (BlueMoon exploit JavaScript),Sept-26,UNK_DoubleCheck
ac6806c89e294f390838cb07c015dabec1c8ada06ce5161a0ad50b8a72828141,SHA256,calibre-launcher.dll,Sept-26,UNK_DoubleCheck
3594ad58fb6217fafe9839e53999a90608c2e9f335fa20aece3d53f8c0802726,SHA256,SysPr.prx,Sept-26,UNK_DoubleCheck
3ec3151d8d1278ed966941ac89ea495ef6a80c70613dd9138cc85fc28c9df432,SHA256,krita.dll,Sept-26,UNK_DoubleCheck
6e6378d8d404166da89d982e80bc52e19a3f677201258dec1775f100a027a92d,SHA256,SysPr.prx,Sept-26,UNK_DoubleCheck
