extension_id,Name,Remark
gomekmidlodglbbmalcneegieacbdmki,Avast Online Security & Privacy,GA4 Api Secret
nbmoafcmbajniiapeidgficgifbfmjfo,AVG Online Security,GA4 Api Secret
hjngolefdpdnooamgdldlkjgmdcmcjnc,Equatio - Math made digital,Azure Api Key
nlipoenfbbikpbjkfpfillcgkoblgpmj,Awesome Screen Recorder & Screenshot,AWS Access Key
mfpiaehgjbbfednooihadalhehabhcjo,Scrolling screenshot tool & screen capture,AWS Access Key
gpaiobkfhnonedkhhfjpmhdalgeoebfa,Microsoft Editor: Spelling & Grammar Checker,Microsoft telemetry ApiKey
lmbopdiikkamfphhgcckcjhojnokgfeo,Antidote Connector,Google Api Key
cimpffimgeipdhnhjohpbehjkcdpjolg,Watch2Gether,Tenor GIF Search Api Key
egjidjbpglichdcondbcbdnbeeppgdph,Trust Wallet,FIAT RAMP API KEY
llaficoajjainaijghjlofdfmbjpebpa,"Speed Dial [FVD] - New Tab Page, 3D, Sync",GA4 Api Secret
lnbmbgocenenhhhdojdielgnmeflbnfb,SellerSprite - Amazon Research Tool,GA4 Api Secret
coplmfnphahpcknbchcehdikbdieognn,TravelArrow - Your Virtual Travel Agent,Geolocation API key
