  Exchange Server 2019 CU15 Sep25HU,"September 8, 2025",15.2.1748.37,15.02.1748.037
   Exchange Server 2019 CU15 Aug25SU,"August 12, 2025",15.2.1748.36,15.02.1748.036
   Exchange Server 2019 CU15 May25HU,"May 29, 2025",15.2.1748.26,15.02.1748.026
   Exchange Server 2019 CU15 Apr25HU,"April 18, 2025",15.2.1748.24,15.02.1748.024
Exchange Server 2019 CU15 (2025H1),"February 10, 2025",15.2.1748.10,15.02.1748.010
   Exchange Server 2019 CU14 Sep25HU,"September 8, 2025",15.2.1544.34,15.02.1544.034
   Exchange Server 2019 CU14 Aug25SU,"August 12, 2025",15.2.1544.33,15.02.1544.033
   Exchange Server 2019 CU14 May25HU,"May 29, 2025",15.2.1544.27,15.02.1544.027
   Exchange Server 2019 CU14 Apr25HU,"April 18, 2025",15.2.1544.25,15.02.1544.025
   Exchange Server 2019 CU14 Nov24SUv2,"November 27, 2024",15.2.1544.14,15.02.1544.014
   Exchange Server 2019 CU14 Nov24SU,"November 12, 2024",15.2.1544.13,15.02.1544.013
   Exchange Server 2019 CU14 Apr24HU,"April 23, 2024",15.2.1544.11,15.02.1544.011
   Exchange Server 2019 CU14 Mar24SU,"March 12, 2024",15.2.1544.9,15.02.1544.009
Exchange Server 2019 CU14 (2024H1),"February 13, 2024",15.2.1544.4,15.02.1544.004
   Exchange Server 2019 CU13 Nov24SUv2,"November 27, 2024",15.2.1258.39,15.02.1258.039
   Exchange Server 2019 CU13 Nov24SU,"November 12, 2024",15.2.1258.38,15.02.1258.038
   Exchange Server 2019 CU13 Apr24HU,"April 23, 2024",15.2.1258.34,15.02.1258.034
   Exchange Server 2019 CU13 Mar24SU,"March 12, 2024",15.2.1258.32,15.02.1258.032
   Exchange Server 2019 CU13 Nov23SU,"November 14, 2023",15.2.1258.28,15.02.1258.028
   Exchange Server 2019 CU13 Oct23SU,"October 10, 2023",15.2.1258.27,15.02.1258.027
   Exchange Server 2019 CU13 Aug23SUv2,"August 15, 2023",15.2.1258.25,15.02.1258.025
   Exchange Server 2019 CU13 Aug23SU,"August 8, 2023",15.2.1258.23,15.02.1258.023
   Exchange Server 2019 CU13 Jun23SU,"June 13, 2023",15.2.1258.16,15.02.1258.016
Exchange Server 2019 CU13 (2023H1),"May 3, 2023",15.2.1258.12,15.02.1258.012
   Exchange Server 2019 CU12 Nov23SU,"November 14, 2023",15.2.1118.40,15.02.1118.040
   Exchange Server 2019 CU12 Oct23SU,"October 10, 2023",15.2.1118.39,15.02.1118.039
   Exchange Server 2019 CU12 Aug23SUv2,"August 15, 2023",15.2.1118.37,15.02.1118.037
   Exchange Server 2019 CU12 Aug23SU,"August 8, 2023",15.2.1118.36,15.02.1118.036
   Exchange Server 2019 CU12 Jun23SU,"June 13, 2023",15.2.1118.30,15.02.1118.030
   Exchange Server 2019 CU12 Mar23SU,"March 14, 2023",15.2.1118.26,15.02.1118.026
   Exchange Server 2019 CU12 Feb23SU,"February 14, 2023",15.2.1118.25,15.02.1118.025
   Exchange Server 2019 CU12 Jan23SU,"January 10, 2023",15.2.1118.21,15.02.1118.021
   Exchange Server 2019 CU12 Nov22SU,"November 8, 2022",15.2.1118.20,15.02.1118.020
   Exchange Server 2019 CU12 Oct22SU,"October 11, 2022",15.2.1118.15,15.02.1118.015
   Exchange Server 2019 CU12 Aug22SU,"August 9, 2022",15.2.1118.12,15.02.1118.012
   Exchange Server 2019 CU12 May22SU,"May 10, 2022",15.2.1118.9,15.02.1118.009
Exchange Server 2019 CU12 (2022H1),"April 20, 2022",15.2.1118.7,15.02.1118.007
   Exchange Server 2019 CU11 Mar23SU,"March 14, 2023",15.2.986.42,15.02.0986.042
   Exchange Server 2019 CU11 Feb23SU,"February 14, 2023",15.2.986.41,15.02.0986.041
   Exchange Server 2019 CU11 Jan23SU,"January 10, 2023",15.2.986.37,15.02.0986.037
   Exchange Server 2019 CU11 Nov22SU,"November 8, 2022",15.2.986.36,15.02.0986.036
   Exchange Server 2019 CU11 Oct22SU,"October 11, 2022",15.2.986.30,15.02.0986.030
   Exchange Server 2019 CU11 Aug22SU,"August 9, 2022",15.2.986.29,15.02.0986.029
   Exchange Server 2019 CU11 May22SU,"May 10, 2022",15.2.986.26,15.02.0986.026
   Exchange Server 2019 CU11 Mar22SU,"March 8, 2022",15.2.986.22,15.02.0986.022
   Exchange Server 2019 CU11 Jan22SU,"January 11, 2022",15.2.986.15,15.02.0986.015
   Exchange Server 2019 CU11 Nov21SU,"November 9, 2021",15.2.986.14,15.02.0986.014
   Exchange Server 2019 CU11 Oct21SU,"October 12, 2021",15.2.986.9,15.02.0986.009
Exchange Server 2019 CU11,"September 28, 2021",15.2.986.5,15.02.0986.005
   Exchange Server 2019 CU10 Mar22SU,"March 8, 2022",15.2.922.27,15.02.0922.027
   Exchange Server 2019 CU10 Jan22SU,"January 11, 2022",15.2.922.20,15.02.0922.020
   Exchange Server 2019 CU10 Nov21SU,"November 9, 2021",15.2.922.19,15.02.0922.019
   Exchange Server 2019 CU10 Oct21SU,"October 12, 2021",15.2.922.14,15.02.0922.014
   Exchange Server 2019 CU10 Jul21SU,"July 13, 2021",15.2.922.13,15.02.0922.013
Exchange Server 2019 CU10,"June 29, 2021",15.2.922.7,15.02.0922.007
   Exchange Server 2019 CU9 Jul21SU,"July 13, 2021",15.2.858.15,15.02.0858.015
   Exchange Server 2019 CU9 May21SU,"May 11, 2021",15.2.858.12,15.02.0858.012
   Exchange Server 2019 CU9 Apr21SU,"April 13, 2021",15.2.858.10,15.02.0858.010
Exchange Server 2019 CU9,"March 16, 2021",15.2.858.5,15.02.0858.005
   Exchange Server 2019 CU8 May21SU,"May 11, 2021",15.2.792.15,15.02.0792.015
   Exchange Server 2019 CU8 Apr21SU,"April 13, 2021",15.2.792.13,15.02.0792.013
   Exchange Server 2019 CU8 Mar21SU,"March 2, 2021",15.2.792.10,15.02.0792.010
Exchange Server 2019 CU8,"December 15, 2020",15.2.792.3,15.02.0792.003
   Exchange Server 2019 CU7 Mar21SU,"March 2, 2021",15.2.721.13,15.02.0721.013
Exchange Server 2019 CU7,"September 15, 2020",15.2.721.2,15.02.0721.002
   Exchange Server 2019 CU6 Mar21SU,"March 2, 2021",15.2.659.12,15.02.0659.012
Exchange Server 2019 CU6,"June 16, 2020",15.2.659.4,15.02.0659.004
   Exchange Server 2019 CU5 Mar21SU,"March 2, 2021",15.2.595.8,15.02.0595.008
Exchange Server 2019 CU5,"March 17, 2020",15.2.595.3,15.02.0595.003
   Exchange Server 2019 CU4 Mar21SU,"March 2, 2021",15.2.529.13,15.02.0529.013
Exchange Server 2019 CU4,"December 17, 2019",15.2.529.5,15.02.0529.005
   Exchange Server 2019 CU3 Mar21SU,"March 2, 2021",15.2.464.15,15.02.0464.015
Exchange Server 2019 CU3,"September 17, 2019",15.2.464.5,15.02.0464.005
   Exchange Server 2019 CU2 Mar21SU,"March 2, 2021",15.2.397.11,15.02.0397.011
Exchange Server 2019 CU2,"June 18, 2019",15.2.397.3,15.02.0397.003
   Exchange Server 2019 CU1 Mar21SU,"March 2, 2021",15.2.330.11,15.02.0330.011
Exchange Server 2019 CU1,"February 12, 2019",15.2.330.5,15.02.0330.005
