type,data,notes
Info,https://www.netcraft.com/blog/thousands-of-domains-target-hotel-guests-in-massive-phishing-campaign,Indicators relating to a large scale phishing campaign targeting hotel guests
uri_path,/ajax/msg_check.php,Common URI path in this phishing site
uri_path,/ajax/mpayment_card_status.php,Common URI path in this phishing site
uri_path,/ajax/user_send_status.php,Common URI path in this phishing site
uri_path,/ajax/chat_action.php,Common URI path in this phishing site
uri_path,/ajax/manual_check_status.php,Common URI path in this phishing site
uri_path,/ajax/captcha.php,Common URI path in this phishing site
domain,com-simple-reserve.my,Registered on 2025-10-28
domain,com-reserve-en.my,Registered on 2025-10-28
domain,com-invoice.my,Registered on 2025-10-28
domain,com-rebook.my,Registered on 2025-10-28
domain,bookingconfirm.icu,Registered on 2025-10-28
domain,octoberinforoom.com,Registered on 2025-10-28
domain,confirmation-id44082.com,Registered on 2025-10-28
domain,day701.com,Registered on 2025-10-28
domain,confirmation-id91662.com,Registered on 2025-10-28
domain,webproxy-e1d.pages.dev,Registered on 2025-10-28
domain,confirm-id65853044.com,Registered on 2025-10-28
domain,in91837281277.com,Registered on 2025-10-27
domain,guest-confirm09211.com,Registered on 2025-10-27
domain,ids1739287737.site,Registered on 2025-10-27
domain,id17733007378873.com,Registered on 2025-10-27
domain,com-confirmgb.com,Registered on 2025-10-27
domain,an83746281.com,Registered on 2025-10-27
domain,com-confirmategb.live,Registered on 2025-10-27
domain,confirmation-id3782.com,Registered on 2025-10-27
domain,page063325.cfd,Registered on 2025-10-27
domain,bookedorder-5642378134.site,Registered on 2025-10-27
domain,id-749128.com,Registered on 2025-10-27
domain,9354.click,Registered on 2025-10-27
domain,verify-id771840.com,Registered on 2025-10-27
domain,confirmation-id77205.com,Registered on 2025-10-27
domain,confirmation-id3127.com,Registered on 2025-10-27
domain,hotel-ambasadorssi.com,Registered on 2025-10-27
domain,guest-confirm23011.com,Registered on 2025-10-27
domain,guest-confirm63391.com,Registered on 2025-10-27
domain,hampton-edinburgh.com,Registered on 2025-10-27
domain,guest-confirm921.com,Registered on 2025-10-27
domain,bookingcinfimation.us,Registered on 2025-10-27
domain,confirmation-id981953.com,Registered on 2025-10-27
domain,page849003.cfd,Registered on 2025-10-27
domain,update-id5684915.com,Registered on 2025-10-27
domain,update-id5687915.com,Registered on 2025-10-27
domain,update-id4687915.com,Registered on 2025-10-27
domain,update-id5684955.com,Registered on 2025-10-27
domain,com-invoice.email,Registered on 2025-10-26
domain,com-confirmgb.cc,Registered on 2025-10-26
domain,confirmation-id66455.com,Registered on 2025-10-26
domain,in47482789.com,Registered on 2025-10-26
domain,lapinede-plage-verifications.com,Registered on 2025-10-26
domain,hotel-zurheidschnucke-verifications.com,Registered on 2025-10-26
domain,lapinede-plage-verification.com,Registered on 2025-10-26
domain,hotel-zurheidschnucke-verification.com,Registered on 2025-10-26
domain,lanticalocanda-dellorso-verification.com,Registered on 2025-10-26
domain,lanticalocanda-dellorso-verifications.com,Registered on 2025-10-26
domain,ggcaverns.com,Registered on 2025-10-26
domain,gcaverns.com,Registered on 2025-10-26
domain,com-confirmpaygb.live,Registered on 2025-10-26
domain,reserve-id.email,Registered on 2025-10-26
domain,confirmation96230-booking.com,Registered on 2025-10-26
domain,confirmation6530-booking.com,Registered on 2025-10-26
domain,com-reserve-id.email,Registered on 2025-10-26
domain,com-id-reserve.com,Registered on 2025-10-26
domain,gene-feyus-hotel.icu,Registered on 2025-10-25
domain,csa.diogoflix.com,Registered on 2025-10-25
domain,confirmation-id816401.com,Registered on 2025-10-25
domain,confirmation-id881234.com,Registered on 2025-10-25
domain,page488122.cfd,Registered on 2025-10-25
domain,cardverify94-booking.com,Registered on 2025-10-25
domain,confirmation-id17175.com,Registered on 2025-10-25
domain,reservations-status.com,Registered on 2025-10-24
domain,lichenkuan.workers.dev,Registered on 2025-10-24
domain,confirmation-id771953.com,Registered on 2025-10-24
domain,com-itconfirms.live,Registered on 2025-10-24
domain,verify-id184210.com,Registered on 2025-10-24
domain,apps.diogoflix.com,Registered on 2025-10-24
domain,testing.diogoflix.com,Registered on 2025-10-24
domain,staging.diogoflix.com,Registered on 2025-10-24
domain,app.diogoflix.com,Registered on 2025-10-24
domain,dev.diogoflix.com,Registered on 2025-10-24
domain,demo.diogoflix.com,Registered on 2025-10-24
domain,support.diogoflix.com,Registered on 2025-10-24
domain,test.diogoflix.com,Registered on 2025-10-24
domain,assets.diogoflix.com,Registered on 2025-10-24
domain,static.diogoflix.com,Registered on 2025-10-24
domain,cdn.diogoflix.com,Registered on 2025-10-24
domain,docs.diogoflix.com,Registered on 2025-10-24
domain,m.diogoflix.com,Registered on 2025-10-24
domain,guest-manager.world,Registered on 2025-10-24
domain,in47182737.com,Registered on 2025-10-24
domain,guest-confirm099233.com,Registered on 2025-10-24
domain,confirmation8901-webhotel.com,Registered on 2025-10-24
domain,com-confirmsgb.live,Registered on 2025-10-24
domain,confirmation-stay20473.com,Registered on 2025-10-23
domain,confirmation-id3205.com,Registered on 2025-10-23
domain,amendeafrance.com,Registered on 2025-10-23
domain,guest-confirm878711.com,Registered on 2025-10-23
domain,thewyatt-hotel-verifications.com,Registered on 2025-10-23
domain,thewyatt-hotel-verification.com,Registered on 2025-10-23
domain,hotel-guest-verification.com,Registered on 2025-10-23
domain,satyadanang-hotel-verification.com,Registered on 2025-10-23
domain,sovotelboutiquehotel-conezionputrajaya-verification.com,Registered on 2025-10-23
domain,aucharmantpetitlac-ecohotelparcspa-verification.com,Registered on 2025-10-23
domain,confirmation-id452992.com,Registered on 2025-10-23
domain,guest-confirmation0912112.com,Registered on 2025-10-23
domain,confirmation-id564693.com,Registered on 2025-10-23
domain,azorishotels.help,Registered on 2025-10-23
domain,confirmation6821-booking.com,Registered on 2025-10-23
domain,confirmation0331-booking.com,Registered on 2025-10-23
domain,confirmation9721-booking.com,Registered on 2025-10-23
domain,confirmation9001-booking.com,Registered on 2025-10-23
domain,confirmation8810-booking.com,Registered on 2025-10-23
domain,confirmation10482-booking.com,Registered on 2025-10-23
domain,confirmation33917-booking.com,Registered on 2025-10-23
domain,confirmation2947-booking.com,Registered on 2025-10-23
domain,confirmation4291-booking.com,Registered on 2025-10-23
domain,reservation-status.com,Registered on 2025-10-23
domain,villagevpn.com,Registered on 2025-10-23
domain,confirmation-id21719.com,Registered on 2025-10-23
domain,updateinfooctoberid26135235.com,Registered on 2025-10-23
domain,page750651.cfd,Registered on 2025-10-23
domain,bookextrasingin.com,Registered on 2025-10-23
domain,confirm-id56473854.com,Registered on 2025-10-22
domain,confirmation-id927753.com,Registered on 2025-10-22
domain,confirm-id991230.com,Registered on 2025-10-22
domain,webhotelselc.com,Registered on 2025-10-22
domain,updateinfooctoberid726135235.com,Registered on 2025-10-22
domain,com-reserve-jpy.com,Registered on 2025-10-22
domain,confirmation-id99012.com,Registered on 2025-10-22
domain,confirmation8901-booking.com,Registered on 2025-10-22
domain,confirmation-id32982.com,Registered on 2025-10-22
domain,confirmation-id4738.com,Registered on 2025-10-22
domain,confirmation-id9923.com,Registered on 2025-10-22
domain,airbnb-id4432.site,Registered on 2025-10-22
domain,confirmation-id8179.com,Registered on 2025-10-22
domain,confirmation-id4432.site,Registered on 2025-10-22
domain,com-reserve-jpn.com,Registered on 2025-10-22
domain,confirm-id56488589.com,Registered on 2025-10-22
domain,confirm-id65853049.com,Registered on 2025-10-22
domain,confirm-id45573859.com,Registered on 2025-10-22
domain,confirm-guest093214.com,Registered on 2025-10-22
domain,page7856278.cfd,Registered on 2025-10-22
domain,og2226542.workers.dev,Registered on 2025-10-22
domain,ablare.site,Registered on 2025-10-22
domain,casajulian-inn.com,Registered on 2025-10-22
domain,rriaddabahmars.com,Registered on 2025-10-21
domain,casamagica-busteni-reservation.world,Registered on 2025-10-21
domain,ninepyramidview.com,Registered on 2025-10-21
domain,confirmation-id431443.com,Registered on 2025-10-21
domain,verif-reservartion.com,Registered on 2025-10-21
domain,confirm-id2110.help,Registered on 2025-10-21
domain,numastays-confirm.world,Registered on 2025-10-21
domain,flextayoctober.com,Registered on 2025-10-21
domain,roomrenewinfo.com,Registered on 2025-10-20
domain,verificationsforsellers.com,Registered on 2025-10-20
domain,confirm-stay2582.com,Registered on 2025-10-20
domain,guest-confirmations091222.com,Registered on 2025-10-20
domain,roomrenewinfo6235.com,Registered on 2025-10-20
domain,confirmation-id88120.com,Registered on 2025-10-20
domain,theexplorer-bg.pages.dev,Registered on 2025-10-20
domain,com-frsconfirm.com,Registered on 2025-10-20
domain,confirmation-id4077.com,Registered on 2025-10-20
domain,update-id5684957.com,Registered on 2025-10-20
domain,confirmation-id8422.com,Registered on 2025-10-20
domain,confirmation-id44813.com,Registered on 2025-10-20
domain,guest-confirm098655.com,Registered on 2025-10-20
domain,guest-confirm098198.com,Registered on 2025-10-20
domain,guest-confirm133220.com,Registered on 2025-10-20
domain,guest-confirm120112.com,Registered on 2025-10-20
domain,confirmation-id4433.com,Registered on 2025-10-20
