Ecosystem,Package,Version
npm,rstreams-shard-util,1.0.1
npm,leo-logger,1.0.8
npm,rstreams-metrics,2.0.2
npm,leo-cdk-lib,0.0.2
npm,leo-auth,4.0.6
npm,leo-streams,2.0.1
npm,serverless-convention,2.0.4
npm,leo-cache,1.0.2
npm,leo-connector-elasticsearch,2.0.6
npm,leo-connector-mysql,3.0.3
npm,leo-connector-redshift,3.0.6
npm,leo-connector-mongo,3.0.8
npm,leo-sdk,6.0.19
npm,serverless-leo,3.0.14
npm,leo-cli,3.0.3
npm,leo-config,1.1.1
npm,leo-cron,2.0.2
npm,leo-aws,2.0.4
npm,leo-connector-oracle,2.0.1
npm,solo-nav,1.0.1
npm,@immobiliarelabs/backstage-plugin-gitlab-backend,3.0.3
npm,@immobiliarelabs/backstage-plugin-gitlab-backend,5.2.1
npm,@immobiliarelabs/backstage-plugin-gitlab-backend,6.13.1
npm,@immobiliarelabs/backstage-plugin-gitlab,1.0.1
npm,@immobiliarelabs/backstage-plugin-gitlab,2.1.2
npm,@immobiliarelabs/backstage-plugin-gitlab,3.0.3
npm,@immobiliarelabs/backstage-plugin-gitlab,4.0.2
npm,@immobiliarelabs/backstage-plugin-ldap-auth-backend,1.1.3
npm,@immobiliarelabs/backstage-plugin-ldap-auth-backend,2.0.5
npm,@immobiliarelabs/backstage-plugin-ldap-auth-backend,3.0.2
npm,@immobiliarelabs/backstage-plugin-ldap-auth-backend,4.3.2
npm,@immobiliarelabs/backstage-plugin-ldap-auth-backend,5.2.1
npm,@immobiliarelabs/backstage-plugin-ldap-auth,1.1.4
npm,@immobiliarelabs/backstage-plugin-ldap-auth,2.0.5
npm,@immobiliarelabs/backstage-plugin-ldap-auth,3.0.2
npm,@immobiliarelabs/backstage-plugin-ldap-auth,4.3.2
