Indicator,Type,Valid from,Valid until,Source
4D3336707AA46AE6FAAB4EB071746B50AD3EFB91258D8EFB2DF5BD26E8A1A459,file,2026-06-22T20:21:12.278Z,2030-03-09T22:00:00.000Z,Defender TI
72675EAD3437417C9378FFE1F4174C285F1B61184E4302FBEF63AB3DEB01B45A,file,2026-06-22T20:21:07.953Z,2030-03-09T22:00:00.000Z,Defender TI
68AEC5085599E8A272767F50DA66C83A6582E4E16ED97C209F65F81538B0C028,file,2026-06-22T20:21:17.787Z,2030-03-01T22:00:00.000Z,Defender TI
044B55E65159F1D3BBC1475D1281917D478E9561C4E84AA978E5992E0B559909,file,2026-06-22T20:21:11.769Z,2030-03-09T22:00:00.000Z,Defender TI
142.11.200.189,network-traffic,2026-06-22T17:25:52.518Z,2026-07-11T07:00:00.000Z,Defender TI
ns-server-jscdn.beer,domain-name,2026-06-22T17:25:58.276Z,2027-06-15T00:00:00.000Z,Defender TI
ssns-cdn-ns.beer,domain-name,2026-06-22T17:23:52.573Z,2028-12-30T06:00:00.000Z,Defender TI
142.11.200.188,network-traffic,2026-06-22T17:23:30.284Z,2026-07-11T07:00:00.000Z,Defender TI
bootstrup-framework-js.beer,domain-name,2026-06-22T17:24:18.226Z,2028-12-30T06:00:00.000Z,Defender TI
C7E9332731B06644FC73E0046A2A89EAA59B09F54250E9BD622467187351711F,file,2026-06-22T17:23:50.775Z,2031-06-12T07:00:00.000Z,Defender TI
clacndjsvulnarbi.beer,domain-name,2026-06-22T17:25:26.424Z,2028-12-30T06:00:00.000Z,Defender TI
traffadmin.monster,domain-name,2026-06-22T17:24:08.408Z,2028-12-30T06:00:00.000Z,Defender TI
lsikjsns.beer,domain-name,2026-06-22T17:24:51.909Z,2028-12-30T06:00:00.000Z,Defender TI
slndcdnclaud.beer,domain-name,2026-06-22T17:23:18.859Z,2028-12-30T06:00:00.000Z,Defender TI
sane-cdn-js.beer,domain-name,2026-06-22T17:25:15.063Z,2027-06-15T00:00:00.000Z,Defender TI
framesavecloudjs.beer,domain-name,2026-06-22T17:24:13.846Z,2028-12-30T06:00:00.000Z,Defender TI
smtnscerver.beer,domain-name,2026-06-22T17:24:11.355Z,2028-12-30T06:00:00.000Z,Defender TI
jogosdecarrobr.monster,domain-name,2026-06-22T17:24:04.890Z,2028-12-30T06:00:00.000Z,Defender TI
nextpgh3.com,domain-name,2026-06-22T17:23:56.574Z,2028-12-30T06:00:00.000Z,Defender TI
F02A924C9FF92A8780CE812511341182C6B509D45BC59F3F7B522E37225D24FC,file,2026-06-22T17:25:02.591Z,2031-06-12T07:00:00.000Z,Defender TI
testerlau.lat,domain-name,2026-06-22T17:24:12.374Z,2028-12-30T06:00:00.000Z,Defender TI
142.11.200.187,network-traffic,2026-06-22T17:23:55.344Z,2026-07-11T07:00:00.000Z,Defender TI
142.11.200.186,network-traffic,2026-06-22T17:24:12.611Z,2026-07-11T07:00:00.000Z,Defender TI
js-server.beer,domain-name,2026-06-22T17:24:10.701Z,2027-06-15T00:00:00.000Z,Defender TI
best-claudns-js.beer,domain-name,2026-06-22T17:24:11.986Z,2028-12-30T06:00:00.000Z,Defender TI
vsactivens.beer,domain-name,2026-06-22T17:25:20.168Z,2028-12-30T06:00:00.000Z,Defender TI
D83FDB9E53C5FF03C4CB0451EA1BEBD79B53F29EADC1E2FA394C7AF13A86CE2F,file,2026-06-22T17:24:16.328Z,2031-06-11T07:00:00.000Z,Defender TI
webflare.beer,domain-name,2026-06-22T17:24:25.058Z,2028-12-30T06:00:00.000Z,Defender TI
letsgomakemoneyoncaptcha.beer,domain-name,2026-06-22T17:24:19.051Z,2028-12-30T06:00:00.000Z,Defender TI
ntsnsdns.beer,domain-name,2026-06-22T17:23:55.759Z,2028-12-30T06:00:00.000Z,Defender TI
travel-js-ns.beer,domain-name,2026-06-22T17:24:21.114Z,2028-12-30T06:00:00.000Z,Defender TI
dhnsdns.beer,domain-name,2026-06-22T17:24:21.898Z,2027-06-15T00:00:00.000Z,Defender TI
ns-claude-js.beer,domain-name,2026-06-22T17:24:21.826Z,2028-12-30T06:00:00.000Z,Defender TI
142.11.200.190,network-traffic,2026-06-22T17:24:09.337Z,2026-07-11T07:00:00.000Z,Defender TI
bcncdncl-ns.beer,domain-name,2026-06-22T17:24:17.252Z,2028-12-30T06:00:00.000Z,Defender TI
azurenetfiles.net,domain-name,2026-06-22T17:24:09.834Z,2027-06-11T07:00:00.000Z,Defender TI
2AB684D93C1553FAD87041B4DEA97188A97E78589DEEE2A7BACFF905564F3A35,file,2026-06-22T17:23:18.906Z,2027-06-16T20:02:13.659Z,Defender TI
adzeta.monster,domain-name,2026-06-22T17:23:23.740Z,2028-12-30T06:00:00.000Z,Defender TI
fetestjs.beer,domain-name,2026-06-22T17:23:53.297Z,2028-12-30T06:00:00.000Z,Defender TI
sdnssmdf-js.beer,domain-name,2026-06-22T17:23:27.666Z,2028-12-30T06:00:00.000Z,Defender TI
