extension_id,name,latest_version,users,updated_date,active,featured,visibility,owner,permhash,sha256,website
odccobbfnngplckpongkahajfjpnbcck,Fire Shield Secure Search,1.0.0.7156,60000,2024-10-09,TRUE,FALSE,unlisted,info@fireshieldnow.com,040d31cf5a9c6913ad5c9c0ee961a6f6910efa7d1e21a4fa27dac797812ccd37,d6f3723a513e50c6fe6510760b3fda576a5ccfebc69a283627a19e2be8983b3f,https://fireshieldnow.com
afefmfbcccnppcaiebpmbpmddhilkkdi,Fire Shield Chrome Safety,1.0.0.7165,100000,2024-09-25,TRUE,FALSE,unlisted,info@fireshieldnow.com,50d1aa32d7c2a444ace2a00a05b06bfbc44a46dccd35d9b70da0e1646a98ac06,87291e54f36b97ac8745294b19953e6e1b3e748b895ec28d23a73d28104c50e1,https://fireshieldnow.com
oaljkhbgbedmfoiieocoenglpaeogjmf,Safe Search for Chrome™,1.0.0.5887,100000,2024-05-11,TRUE,TRUE,unlisted,info@fireshieldnow.com,fc26f8ba85384f04bffa4d3823b390fac5cfbf5d394bbb84400bf15b832ab632,08f8aa9e27683b5a764b1df5642f084f140f75d030902655deac8ad912674bdb,https://fireshieldnow.com
ndajnaaobjaganokllcgbapngenfbgkc,Fire Shield Extension Protection,1.0.0.5887,300000,2024-05-10,TRUE,FALSE,unlisted,info@fireshieldnow.com,a1d1c7aec5a6354b2d21979107b8d81dae82c4b18c7bc04e0e183bab7937b357,b910b3b41d3e1b0cee4ca0a1dbcb5cef2568840e72754b0c3bcae062f2a06bd2,https://fireshieldnow.com
okjdbeegldeilceaflghgfdemobmfhbd,Browser Checkup for Chrome by Doctor,1.1.32.73,200000,2024-05-10,TRUE,TRUE,public,contact@getwebdoctor.com,a1d1c7aec5a6354b2d21979107b8d81dae82c4b18c7bc04e0e183bab7937b357,f8e11786a42064ee8d62933fc2e7b5a5a1d46d58d15b09918c6a2b4e955bd20f,https://getwebdoctor.com
jhigofkbdbndeooldpdhmphldaglejlh,Protecto for Chrome™,0.3.4.5,200000,2024-05-10,TRUE,TRUE,unlisted,contact@goprotecto.com,a1d1c7aec5a6354b2d21979107b8d81dae82c4b18c7bc04e0e183bab7937b357,11d94ba1d2f1388276afe8ca38f4ff712c6c56314b814315f9a37d472e54b9bc,https://goprotecto.com
pmgmbeeafpdjjhmeaalneginpmdhamhe,Unbiased Search by Protecto,0.3.30,100000,2024-05-10,TRUE,FALSE,unlisted,contact@goprotecto.com,4d3860745fa55e69f34339095706349b1d63894145c389861375057f242120c0,e253c3b0454e7b9a9a4caafe681167d9466b50808d0414e242a79453b757eb55,https://goprotecto.com
eobcealmgdjeoheieiobkedbgddicaba,Securify Your Browser,1.5.4769,100000,2024-08-07,TRUE,FALSE,unlisted,info@mysecurify.com,50d1aa32d7c2a444ace2a00a05b06bfbc44a46dccd35d9b70da0e1646a98ac06,7f5fe81ba24ef6a6ceabccca48915c14b1c819b50aea8cb5fb1ce4248e529573,https://mysecurify.com
lnedcnepmplnjmfdiclhbfhneconamoj,Web Privacy Assistant,1.5.4766,100000,2024-07-25,TRUE,FALSE,unlisted,info@mysecurify.com,6e673ccfdef4426feb886322480ab936080d7a98abfaf18157aaed504fe079a6,fcd319ffe8e12a99aceba5d893b8150921a081f97ee4089de89b793beda55fd9,https://mysecurify.com
gadjnphfolikkffmppnicebdfimlblkj,Securify Kid Protection,1.5.4720,40000,2024-06-07,TRUE,FALSE,unlisted,info@mysecurify.com,0a9c6ed3c0e359f358099fc8774fac4c15f50e1984601b738351c58edd5a6902,3399ac457432a14d0a10662d2aa997596c5dd285a892040c0cadc83ad591ed20,https://mysecurify.com
njfkgeajknkffkngdmjmjninkbgjedlo,Bing Search by Securify,1.5.4672,90000,2024-05-10,TRUE,FALSE,unlisted,info@mysecurify.com,50d1aa32d7c2a444ace2a00a05b06bfbc44a46dccd35d9b70da0e1646a98ac06,8c1f21370205f6ff154904f742f62cbd423bd9a9968396d93ecef1497f0286a1,https://mysecurify.com
eldjnmdpkecnjjkmmgndpcibgkfpodfh,Browse Securely for Chrome™,1.4.1.9169,100000,2025-05-11,TRUE,TRUE,unlisted,privacy@securybrowse.com,6aabc818b583ff8132c327f3572860c46b3202cb0fe52156f504765ac8970710,c6836815e6c096176a902bf6434f3c4bf42ed2e897ed1ecd3c2e1c3d93a56691,https://securybrowse.com
omieocempinhilcpbmnfdaamgomapded,Better Browse by SecurySearch,1.3.1640,100000,2024-05-18,TRUE,FALSE,unlisted,contact@securysearch.com,b52daca0c661098f6be7c0b3e8cec2e3e75f9bdfc78c6f1654855c804ed1f375,4fc101f2a4f590564265515a907e43ea43b2ec87ef4d737eb1be1b710e7b6c6d,https://securysearch.com
ilgbcnkedmncjlhpfconadpjnhlflejf,Check My Permissions for Chrome,1.3.1594,100000,2024-05-12,TRUE,TRUE,unlisted,contact@securysearch.com,4d932a5de6b8f8901b61874085c1bc6af4166df6625b67f27014497654f3970c,e009f12eb85b430062a2a96395709cc9c48e60e24536050ac318513ee1c446f1,https://securysearch.com
okggiiagcegdfiajlkodohfkeemnjlnd,Website Safety for Chrome,1.3.1594,90000,2024-05-12,TRUE,FALSE,unlisted,contact@securysearch.com,b52daca0c661098f6be7c0b3e8cec2e3e75f9bdfc78c6f1654855c804ed1f375,11b6d9c6b1f6f02634a41963265317a08b8c1896b2097066f174f726a01660ab,https://securysearch.com
jgajjllfidghjkjfipmjbaegafkdpfha,MultiSearch for Chrome™,1.0.2355.0,100000,2024-09-06,TRUE,FALSE,unlisted,contact@thesqout.com,2440aa1ebdb8dacbca37e93b47411e7e20284360fd0f3409cb840b22b7c266a6,ef40e6409fccd223d1e7cb8e126f679dfd23acf5c723ab764cbe3c578e2fa162,https://thesqout.com
gpibjjfllodpcfhcjpamonnblkbinbie,Global search for Chrome™,1.0.2337.0,100000,2024-08-26,TRUE,FALSE,unlisted,contact@thesqout.com,2440aa1ebdb8dacbca37e93b47411e7e20284360fd0f3409cb840b22b7c266a6,3c75743d653cf7c1ba4bf4da5e64120bbdd2e73b529b07cc2aeb43acb2703375,https://thesqout.com
hpdpddnfjaacnbcnoohlcipfafkbmdja,Map Search for Chrome™,1.0.2202.0,10000,2024-06-21,TRUE,FALSE,unlisted,contact@thesqout.com,196867907eefea54bd01f7ba2f9d2bc8a5f000e08e7676faa47eb3b18baeb08f,3c75743d653cf7c1ba4bf4da5e64120bbdd2e73b529b07cc2aeb43acb2703375,https://thesqout.com
