domainName,threatLevel,date,isMalconf
irctc-clone-react.vercel.app,2,2026-05-11T05:43:35.104Z,FALSE
bcrsline.vercel.app,2,2026-05-11T10:46:31.306Z,FALSE
amazon-clone-sable-rho.vercel.app,2,2026-05-11T05:23:43.204Z,FALSE
clear-river-pulse-solar-green.vercel.app,2,2026-05-07T19:00:16.043Z,FALSE
page-verify-account-eosin.vercel.app,2,2026-05-07T13:35:46.490Z,FALSE
relpip-zstapi.vercel.app,2,2026-05-07T02:06:49.585Z,FALSE
credit-creser-omega.vercel.app,2,2026-05-06T21:52:46.817Z,FALSE
credit-creser11.vercel.app,2,2026-05-06T21:23:42.785Z,FALSE
pawz-meta-capi.vercel.app,2,2026-05-06T17:26:09.599Z,FALSE
shared-summaryfile0842011.vercel.app,2,2026-05-05T20:22:58.363Z,FALSE
ticketting-app-eight.vercel.app,2,2026-05-05T12:16:48.532Z,FALSE
0ffice-leo.vercel.app,2,2026-04-30T18:00:42.253Z,FALSE
userr-acces-centter.vercel.app,2,2026-04-29T10:50:25.510Z,FALSE
g0a826ca2ba6bj4c8ab6a82a7cy8n67d8-a.vercel.app,2,2026-04-28T22:34:32.146Z,FALSE
business-verificationview-f95r.vercel.app,2,2026-04-28T12:52:25.536Z,FALSE
onlinewebviewer-wfiler.vercel.app,2,2026-04-27T11:08:56.696Z,FALSE
sharefile-io.vercel.app,2,2026-04-16T07:40:07.843Z,FALSE
c0rrieomaiilserv23c8eebbx0c7sap0.vercel.app,2,2026-04-15T14:17:29.983Z,FALSE
derviemprendeecuadorcom.vercel.app,2,2026-04-14T14:24:05.949Z,FALSE
allmessages-sharedfiles.vercel.app,2,2026-04-13T13:21:20.482Z,FALSE
meta-businessverified-to-for.vercel.app,2,2026-04-13T10:20:04.644Z,FALSE
cloud-datadock.vercel.app,2,2026-04-08T21:26:05.886Z,FALSE
netflix-update-payment-details.vercel.app,2,2026-04-06T22:40:18.263Z,FALSE
meta-businessverified-notifiication.vercel.app,2,2026-04-01T09:45:50.457Z,FALSE
verify-account-center-notice-ten.vercel.app,2,2026-03-30T06:01:00.067Z,FALSE
instagram-clone-kappa-one.vercel.app,2,2026-03-23T08:41:33.699Z,FALSE
signdocufile.vercel.app,2,2026-03-22T10:24:01.554Z,FALSE
reviewmycraincomeandreocrdfilecr094.vercel.app,2,2026-03-19T17:15:19.400Z,FALSE
noreply-businessmeta-0.vercel.app,2,2026-03-16T09:29:09.591Z,FALSE
confira-desconto.vercel.app,2,2026-03-12T19:03:37.583Z,FALSE
meta-for-business-two.vercel.app,2,2026-03-11T08:41:30.766Z,FALSE
sharefile-vigr.vercel.app,2,2026-03-10T14:06:46.194Z,FALSE
virupcomingprojectdocumentforreview-sharepoint-2026.vercel.app,2,2026-02-25T10:34:42.406Z,FALSE
acro546789767564534frf2.vercel.app,2,2026-02-06T08:05:17.808Z,FALSE
bankdesign.vercel.app,2,2026-02-05T22:38:15.677Z,FALSE
public-trezor-cdn.vercel.app,2,2026-02-05T17:11:02.010Z,FALSE
bluebadge-inc2026metahelpcenter-4rj.vercel.app,2,2026-02-03T20:45:10.581Z,FALSE
