Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@ornikar,prettier-config,9.0.11,,2026-08-04T12:44:09.801Z,2026-08-04T14:03:44.226Z
npm,@ornikar,browserslist-config,8.0.11,,2026-08-04T12:44:10.426Z,2026-08-04T14:03:41.050Z
npm,@umacloud,cli-darwin-arm64,1.0.74,,2026-08-04T13:18:22.357Z,2026-08-04T13:24:01.511Z
npm,@umacloud,cli-linux-arm64,1.0.74,,2026-08-04T13:18:21.687Z,2026-08-04T13:23:52.176Z
npm,@umacloud,cli-linux-musl-x64,1.0.74,,2026-08-04T13:18:41.376Z,2026-08-04T13:23:52.055Z
npm,@umacloud,cli-linux-musl-arm64,1.0.74,,2026-08-04T13:18:24.461Z,2026-08-04T13:23:51.745Z
npm,@umacloud,cli-darwin-x64,1.0.74,,2026-08-04T13:18:20.110Z,2026-08-04T13:23:51.148Z
npm,@umacloud,cli-linux-x64,1.0.74,,2026-08-04T13:18:35.273Z,2026-08-04T13:23:49.698Z
npm,@umacloud,cli-win32-x64,1.0.74,,2026-08-04T13:18:37.441Z,2026-08-04T13:23:49.579Z
npm,@umacloud,knowledge,1.0.74,,2026-08-04T13:18:10.074Z,2026-08-04T13:23:08.740Z
npm,,umadev,1.0.74,,2026-08-04T13:18:05.267Z,2026-08-04T13:22:57.837Z
npm,@ornikar,eslint-config-typescript-nestjs,24.0.9,,2026-08-04T12:44:09.807Z,2026-08-04T12:49:47.588Z
npm,@ornikar,eslint-config-formatjs,24.0.7,,2026-08-04T12:44:00.200Z,2026-08-04T12:49:43.774Z
npm,@ornikar,eslint-config-typescript,24.0.8,,2026-08-04T12:44:09.835Z,2026-08-04T12:49:41.767Z
npm,@ornikar,repo-config-react-legacy-css,15.1.10,,2026-08-04T12:44:00.291Z,2026-08-04T12:49:39.525Z
npm,@ornikar,webpack-config,12.0.12,,2026-08-04T12:45:11.632Z,2026-08-04T12:49:35.396Z
npm,@ornikar,jest-config-react-native-web,12.0.12,,2026-08-04T12:44:38.815Z,2026-08-04T12:49:34.930Z
npm,@ornikar,graphql-config,1.1.8,,2026-08-04T12:44:00.095Z,2026-08-04T12:49:30.412Z
npm,@ornikar,prismic-components,0.0.11,,2026-08-04T12:44:38.795Z,2026-08-04T12:49:29.445Z
npm,@ornikar,graphql-config,1.1.9,,2026-08-04T12:44:09.445Z,2026-08-04T12:49:29.059Z
npm,@ornikar,eslint-config-babel,24.0.12,,2026-08-04T12:45:11.883Z,2026-08-04T12:49:28.990Z
npm,,frontend-orb,4.4.18,,2026-08-04T12:46:37.904Z,2026-08-04T12:49:27.273Z
npm,@ornikar,stylelint-config,14.0.12,,2026-08-04T12:44:38.927Z,2026-08-04T12:49:27.076Z
npm,@ornikar,babel-preset-kitt-universal,8.0.10,,2026-08-04T12:44:09.585Z,2026-08-04T12:49:23.902Z
