Chrome Web Store URL,Extension name,User count
gomekmidlodglbbmalcneegieacbdmki ,Avast Online Security & Privacy ,6000000
lgblnfidahcdcjddiepkckcfdhpknnjh ,Ad Blocker: Stands AdBlocker ,3000000
ofpnmcalabcbjgholdjcjblkibolbppb ,"Monica: ChatGPT AI Assistant | DeepSeek, GPT-4o, Claude 3.5, o1 &More ",3000000
bkkbcggnhapdmkeljlodobbkopceiche ,Pop up blocker for Chrome™ - Poper Blocker ,2000000
fjnbnpbmkenffdnngjfgmeleoegfcffe ,Stylish - Custom themes for any website ,2000000
akdgnmcogleenhbclghghlkkdndkjdjc ,SEOquake ,1000000
eiimnmioipafcokbfikbljfdeojpcgbh ,BlockSite Block Websites & Stay Focused ,1000000
hoklmmgfnpapgjgcpechhaamimifchmp ,Similarweb - Website Traffic & SEO Checker ,1000000
njgehaondchbmjmajphnhlojfnbfokng ,Video Downloader PLUS ,1000000
nllcnknpjnininklegdoijpljgdjkijc ,Wordtune: AI Paraphrasing and Grammar Tool ,1000000
bhmmomiinigofkjcapegjjndpbikblnp ,WOT: Website Security & Safety Checker ,800000
edjkecefjhobekadlkdkopkggdefpgfp ,Smarty ,800000
aefehdhdciieocakfobpaaolhipkcpgc ,Simple Allow Copy ,700000
gbdjcgalliefpinpmggefbloehmmknca ,Ad block & Adblocker - No Ads extension ,700000
gjfpmkejnolcfklaaddjnckanhhgegla ,Guardio Protection for Chrome ,700000
jlgkpaicikihijadgifklkbpdajbkhjo ,CrxMouse: Mouse Gestures ,700000
nbmoafcmbajniiapeidgficgifbfmjfo ,AVG Online Security ,600000
ojplmecpdpgccookcobabopnaifgidhf ,"Price History & Tracker, Spend Lens: Buyhatke ",600000
emalgedpdlghbkikiaeocoblajamonoh ,"Karma | Online shopping, but better ",500000
jajikjbellknnfcomfjjinfjokihcfoi ,Adblock for YouTube & Chrome - All Block ,500000
bmhcbmnbenmcecpmpepghooflbehcack ,Liner: ChatGPT AI Copilot for Web&YouTube&PDF ,400000
dgjbaljgolmlcmmklmmeafecikidmjpi ,Adblock Ad Blocker Pro ,400000
fofjcndophjadilglgimelemjkjblgpf ,ZoomInfo Chrome Extension ,400000
ihmgiclibbndffejedjimfjmfoabpcke ,"Mate Translate – translator, dictionary ",400000
jaembmdeobjibglbnnefpalabeohjpnj ,Audio editor online Audacity ,400000
pnedebpjhiaidlbbhmogocmffpdolnek ,CouponBirds - SmartCoupon Coupon Finder ,400000
fonalplhodhnenmokepaijoemaednpjm ,Directo - Travel Deals - Save on Fees ,300000
kiodaajmphnkcajieajajinghpejdjai ,Popup Blocker Pro ,300000
lnhnebkkgjmlgomfkkmkoaefbknopmja ,ApkOnline APK manager for Android emulator ,300000
mnoiedledcncagkonmmhbenokojeciib ,Tesla Search ,300000
necpbmbhhdiplmfhmjicabdeighkndkn ,Similar Sites - Discover Related Websites ,300000
nfadicbbecgbdbgbibgflooojfbolpgk ,Pie Shopping: Cash Back and Coupons ,300000
nfmlkliedggdodlbgghmmchhgckjoaml ,Spotify Ad Blocker - Blockify ,300000
oeicpkgdngoghobnbjngekclpcmpgpij ,EverBee - Find Best Selling Products on Etsy ,300000
