#,extension_id,version,payload,beacon_hosts,first_seen,sha256_vsix
1,lego-education.ev3-micropython,0.0.2,A,d9j3drkeib4sa01kk82014tt97wxnndam.cb.mangorbit.com,2026-07-26,b8cd87d5e36f167f51ed6a6d2e824f76dc1b3792de9c10091e46f87ad07f5d5a
2,better-ts-errors.better-ts-errors,0.0.1,A,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-27,8763bda130fe4305c4d13c25584c981424dc47d3de3df46ae0ef05466b05526a
3,groksrc.ruby,0.0.1,A,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-27,415cef17b6560643c0e4dddccd956ae6887c369d84c7f45be638a76dc4930dc1
4,maptz.regionfolder,0.0.1,A,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-27,7342f26ff97c0f8dc29edb1c5a5460bafcaacbc84356020a785628b36156ab6e
5,mitsuhiko.insta,0.0.1,A,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-27,5d62cfb190145bd21f930d4c21da01e8dc951e4112992790361e2fd4b09e66f6
6,SBSnippets.pytorch-snippets,0.0.1,A,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-27,d51e331ae110eb37d453e78ac4cf3063d4606ebd2357d8ee4342fd8f06933e20
7,slb235.vscode-coffeelint,0.0.1,A,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-27,0ccd62eb6c1155c252248a98c8ff8e1a45a5cc721d6725511effb770037690d5
8,amd.gaia-vscode,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,1b775ad3ca61addf5bf3e326951314d80ab526cbab0d745edb3e2bd85de2fcd9
9,artsy.artsy-studio-extension-pack,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,a3dbc0a35a781c61c34bf41e9d21eadbf2e77d18531236d1d9c1e622aaf418ef
10,configcat.configcat-feature-flags,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,941e9cf4fb7a1cdadb1a0e64fce3262426847f167ad255a3f724d77f2d0ee103
11,iotaledger.iota-move,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,fde634f337ab81b3d6bfa320047ff4fe450556fd90f44a30612d549b996edc86
12,marketplace.visualstudio,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,9f8a69c193c3c4b83db18149408a9687d1cb6ca149ffa3a1ca6d72e95e3b6954
13,obyte.oscript-vscode-plugin,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,7179f11710f242a578bd50187dadd7fa2ba0062e11e1a631edcd75417bda3f7e
14,openeuphoria.vscode-euphoria,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,0e99e23329f3ca908d7a88ccf102e4b10bd9b67f24fc79408aae15d5d10dfd0a
15,oss.sfmc-devtools-vscode,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,fc3a32f59300c7e8b3e486f23146224beb658d10ae04098a9e27faf341356fbe
16,rumbledb.jsoniq-vscode,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,498b0c9632959eb37cc278f35561f0736c91884b370251dfebae07ff9a942bc3
17,ssagov.uef-snippets,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,95fbdc4c81e14a46dd8f3eb5c4207567baae99712e3ccf8644af09680f3caf5e
18,taskfile.vscode-task,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-28,2526c160b6a08377d02e035fc166e91e8029b997fa6c91169640c2ad2c2ec60b
19,doi.fileheadercomment,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-30,15cd6a4909161c406b8428100d688999377e399ae13aa4da49bb73744933807d
20,MengsiCode.vscode-django-boilerplate,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-30,d35b690502fd3b73312aacf62dc700ac1e43bbc01b53d129096c2c0cdf92a1c4
21,move.move-analyzer,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-30,3b407a548040927802f2cfa05b81eabf48f8b03785ba9fd69a3caa3981a7bc22
22,uavcan.dsdl,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-30,d19c076fc8213617f889a313a3da1565d8364e35c53290fa96400183127b1187
23,vs-publisher-988541.apexsql-power-tools,0.0.1,B,"pulse.mangorbit.com, pulse2.mangorbit.com",2026-07-30,9e148da1d338c32286b54a102ba3a42c7c2627855c3cc820122cff2ee4fc0d90
24,365businessdevelopment.bdev-al-xml-doc,0.0.1,A,pulse.mangorbit.com,2026-07-31,03d81fce32d898e4791672e8e324ca8854d4667f56131f9c2b9d13d66faade4f
25,AcademiaDosDevs.javafx,0.0.1,A,pulse.mangorbit.com,2026-07-31,5a1fb5758a6f4b1635d1e1d3fd83c2c13376f466508a949cdad23114af82db45
26,AlDuncanson.react-hooks-snippets,0.0.1,A,pulse.mangorbit.com,2026-07-31,508d3fb15d317846239e8d1f89ab5a5f31242d159f102602cfbf671103658bd3
27,Alex-Chen.gitee-code-settings-sync,0.0.1,A,pulse2.mangorbit.com,2026-07-31,7dc683fc3e0acf757cb48091c259bd71a7e3fe985f83d5b40468fa5b58e70804
28,AndenetAlexander.vim-cheatsheet,0.0.1,A,pulse.mangorbit.com,2026-07-31,3f97f02073caab6208d103693b13105f9dd42daca379e07953e433bd50ec5d3a
29,AndreyVolosovich.monokai-st3,0.0.1,A,pulse.mangorbit.com,2026-07-31,3e9c96b913b54af9d50966b27b878750c3ae9d8e7944c4437a40d5a5cbc5ef21
30,angelo-breuer.license-header-manager,0.0.2,A,pulse.mangorbit.com,2026-07-31,aac1efa84293929006436160f77e58e70d9025fc0b320ecc64953e066785a0fa
31,AshhadDevLab.customtkinter-snippets,0.0.1,A,pulse.mangorbit.com,2026-07-31,8e90e637bd7f3a2eaee077f216610248bf4d41c8d1f7880a2d2623be13be339f
32,AzureADB2CTools.aadb2c,0.0.1,A,pulse2.mangorbit.com,2026-07-31,410e6b62b5e62cd8603b374f34e5ec6dad62bb95435fa320e08a850fa359f8c5
33,AzurePolicy.azurepolicyextension,0.0.1,A,pulse.mangorbit.com,2026-07-31,805c0c50271afbe94301d376cc5eb191feb7a409ea05f7771dcb4a07dcb0442a
34,BartmanAbyss.amiga-debug,0.0.1,A,pulse2.mangorbit.com,2026-07-31,9afe7dd8f3eece28719edac1572ca7adbf307fdb29580535cbc109dec2e44da0
