domainName,threatLevel,date
smtp.taxandria.nl,0,2026-03-20T23:34:24.251Z
taxinorthoftheriver.com.au,0,2026-03-20T17:07:10.219Z
capitaltax-confirmation.quickpdfview.com,0,2026-03-18T16:09:04.956Z
gdgsb-wwzb882wm.taxisinnewcastle.com,0,2026-03-18T03:11:42.068Z
taxisinnewcastle.com,0,2026-03-18T03:11:42.068Z
www.foundtaxi.com,0,2026-03-17T09:58:06.678Z
www.partnertaxhub.com,0,2026-03-16T19:36:46.692Z
crampingtax.com,0,2026-03-16T16:29:38.289Z
point.taxparagon.store,0,2026-03-16T03:40:04.502Z
taxesandmore.gr,0,2026-03-12T02:18:13.978Z
njtaxation.org,0,2026-03-11T19:20:09.669Z
mail-sprintax.kirbyscorps.com,0,2026-03-11T18:52:46.394Z
njtaxation.com,0,2026-03-11T18:49:07.544Z
www.njtaxation.org,0,2026-03-11T18:46:33.092Z
exchange-taxpayer.safesendreturns.com,4,2026-03-10T16:19:13.475Z
exchange-taxpayer-api.safesendreturns.com,0,2026-03-10T16:19:13.475Z
wmxjqtaxgf.a.pinggy.link,0,2026-03-09T22:46:31.555Z
innovativetaxreliefllc.com,0,2026-03-08T22:40:12.688Z
www.taxpayerservicecenter.com,0,2026-03-06T06:55:35.467Z
mytax-organizer.austinharriscalifornia.com,0,2026-03-04T18:57:14.050Z
turbotax.business-services.org,0,2026-03-04T16:12:47.725Z
mytax-organizer.road-scholar.ca,0,2026-03-04T05:09:34.962Z
taxibelogorsk.ru,0,2026-03-03T09:21:29.810Z
vovitaxa.lowicz.pl,0,2026-03-01T23:57:43.014Z
raidotaxi.com,0,2026-03-01T23:57:43.014Z
mx5.dataxy.fr,0,2026-03-01T23:57:43.014Z
taxissunroom.com,0,2026-02-28T22:35:09.844Z
downloadmyincometaxgrossnetpj.vercel.app,0,2026-02-27T20:05:50.311Z
tax.your-abitur.ru,0,2026-02-23T09:33:19.931Z
yourtaxdocument.summitcapital.cfd,0,2026-02-22T03:04:35.766Z
fvnrmtax2wq4q2my4veq-f-3df725a0d-clientnsv4-s.akamaihd.net,0,2026-02-20T22:50:03.727Z
fvnrmtax3bgug2myuana-pk9o7v-c0bd89fd5-clientnsv4-s.akamaihd.net,0,2026-02-20T17:55:03.278Z
totaltaxinc-my.sharepoint.com,0,2026-02-20T15:49:43.106Z
www.taxithailandservicestour-travel.com,0,2026-02-20T13:00:33.615Z
fvnrmtax2wqy42myf4sa-pk0wi2-068de83be-clientnsv4-s.akamaihd.net,0,2026-02-20T09:53:15.485Z
crypto-tax-germany--simsuppmizadent.replit.app,0,2026-02-19T11:21:52.473Z
taxi300.net,0,2026-02-19T08:21:32.901Z
1031taxology.com,0,2026-02-19T05:35:37.799Z
