"type","value","source"
"url","http://avoesy311.top/gate.php","public"
"url","http://blue-term-c168.gov-pkgov.workers.dev","public"
"url","http://maif-piac-aero.gov-pkgov.workers.dev","public"
"url","http://mail-mod-gov-pk.pakistan-gov-pk.workers.dev","public"
"url","http://mail-modp.gov-pkgov.workers.dev","public"
"url","http://mail-ntc-net-pk.gov-pkgov.workers.dev","public"
"url","http://mail.pof-gov-pk.workers.dev","public"
"url","http://pythonscanner.gov-pkgov.workers.dev","public"
"url","http://webmail.cybar-net-pk.workers.dev","public"
"url","http://worker-dark-paper-2231.gov-pkgov.workers.dev","public"
"url","http://worker-patient-wave-96d1.pakistan-gov-pk.workers.dev","public"
"url","http://workermdxxx.naychilin-pk.workers.dev","public"
"url","http://www-nepalgovernment-genz-agendapdf.netlify.app","public"
"url","https://api.telegram.org/bot7522684505:AAEODeii83B_nlpLi0bUQTnOtVdjc8yHfjQ/sendDocument?chat_id=-1002503889864","public"
"url","https://autodiscover-paa-gov-pk-auth-logon-aspx.pages.dev","public"
"url","https://cdn.discordapp.com/attachments/1395171942494896190/1413957011837816915/VrchatPlugin.rar?ex=68bdd195&is=68bc8015&hm=b9f359a7f75b84d1b860d2aa4dd92f8adad3a2feef5d82832f49d664a256ff7b&","public"
"url","https://dgdp-product-details-2025-turkey.netlify.app","public"
"url","https://doc-ye9wbezc.b4a.run","public"
"url","https://download1529.mediafire.com/8006s55pduvgtQ0THBMZxcLtlrh20a5BnfF18n8YfGUB8P7M5U3mEQb-UYYDCrMHsSG0aWvnyy_LIMg2OnTc4kuNYmWzjWLQwOds-qSfhdO03NOQFAAaYCPiOvB8nU7mBEHe-3a5gDSufW6upPbFXyGlbzBTdtpcrVPXokNKOYZ9/c4zbp39q02jvrn8/Aykadia.rar","public"
"url","https://drive-dgdp-gov-bd-confidential-files.netlify.app","public"
"url","https://drive-dgdp-gov-bd-files.netlify.app","public"
"url","https://drive-nepal-gov-np-files.netlify.app","public"
"url","https://gooogle.files-cyber-net-pk.workers.dev","public"
"url","https://helpful-national-poilcy-nepla-gov-np.netlify.app","public"
"url","https://iloveanimals.shop","public"
"url","https://iloveanimals.shop/user/login","public"
"url","https://mail-aviation-gov-pk-pdf.pages.dev","public"
"url","https://mail-depo-gov-pk.govtpak.workers.dev","public"
"url","https://mail-minfinance-gov-np.netlify.app","public"
"url","https://mail-mod-gov-np-download-pdf.netlify.app","public"
"url","https://mail-modp-gov-pk.pak-gov-pk.workers.dev","public"
"url","https://mail-moha-gov-np-download.netlify.app","public"
"url","https://mail-paa-gov-pk.pages.dev/error","public"
"url","https://mail-suparco-gov-pk-owa-auth-logon-aspx.pages.dev","public"
"url","https://maill-govtnepal-gov-np.netlify.app","public"
"url","https://maill-nepalgv-gov-np.netlify.app","public"
"url","https://mall-ministryoffinance-np.netlify.app","public"
"url","https://na-gov-pk-meeting-pac.pages.dev","public"
"url","https://ntc-06gd0upz.b4a.run/login","public"
"url","https://owa-suparco-gov-pk-logon-aspx.pages.dev","public"
"url","https://owa-suparco-gov-pk-owa-autho.pages.dev","public"
"url","https://posta-nhq43i6x.b4a.run/login","public"
"url","https://root.iloveanimals.shop/download/game_cache","public"
"url","https://root.iloveanimals.shop/download/save_data","public"
"url","https://root.iloveanimals.shop/download/stats_db","public"
"url","https://root.iloveanimals.shop/panelping","public"
"url","https://root.stealituptaded.lol/download/game_cache","public"
"url","https://root.stealituptaded.lol/download/save_data","public"
"url","https://root.stealituptaded.lol/download/stats_db","public"
"url","https://secure-ntc.net/Advisory/NTC/2025/05/hit.gov.pk","public"
"url","https://sorvetenopote.com/api/itbi/Q77xivT4udoXayYELTwehMD666ovP6DZ","public"
"url","https://uploads.ptcl-gov-pk.workers.dev","public"
"url","https://verify.mod-defence-lk.workers.dev","public"
"url","https://viewpdfonline-1wgtaeus.b4a.run","public"
"url","https://webmail-hubpower-com-error.pages.dev/login","public"
"url","https://webservermail-g2689far.b4a.run/login","public"
"url","https://www-foreignaffairs-nepal-com.netlify.app","public"
"url","https://www.mediafire.com/file/9ni7pgjxuw8pc6h/ShaderSetup.rar/file","public"
"hash_sha256","003A69A0A2DE87BCFD3982DA1068478A8C2828EB07DC24EDD93B419EB37D1980","public"
"hash_sha256","00C953A678C1AA115DBE344AF18C2704E23B11E6C6968C46127DD3433EA73BF2","public"
"hash_sha256","018EA246585F9DEF1A14A2690AFAB6F9E8FCBF1FEBB6BF9B8463A204A50A5411","public"
"hash_sha256","01AE333D518131775DFD3AB76832CB4796CDA88630BA7B4B9CE2446EC9192B39","public"
"hash_sha256","01C29E84AD1A5FC1F2D16A93FEE1C6386AECEF1A99153ECCADDBCA54549BEFD3","public"
"hash_sha256","029A5405BBB6E065C8422ECC0DEA42BB2689781D03EF524D9374365EBB0542F9","public"
"hash_sha256","039F82E92C592F8C39B9314EAC1B2D4475209A240A7AD052B730F9BA0849A54A","public"
"hash_sha256","083C4E0FFDC9EDF0D93655EE4D665C838D2A5431B8064242D93A545BD9AD761B","public"
"hash_sha256","08AD4CC903049024324AF8A15D99934C76E3895ACC4C549CAD6B972EE72D514B","public"
"hash_sha256","08BEB97841E761DD8E34D677D1ED6164A259B9ADA3C8E4C26E2B25D47011BFD9","public"
"hash_sha256","08C14BC1DDC1742D1C170EF44305651A97C69D57F6B9910250CAA71DC4B4CB82","public"
"hash_sha256","08EA829D5C97AAB089ABE19686D274F829AA1CEE3670D2819885E33F39A4D602","public"
"hash_sha256","09207F1DFDD000B42B3433B85D051E8E446A1A1F2F63AB66D47EDB9B196F618C","public"
"hash_sha256","09C43ED814E1FFA520F1E84511FB11DF3AC7E42BE799FEF5B29C7E3F7E6170FB","public"
"hash_sha256","0F873D999BCC3CAFE9630E68A36C4E754B89297AFB73FFD1189B8E9739B203B7","public"
"hash_sha256","104A156BCF995C35C09FFD27AEF713D6D14265E3852FC7184BA046D097A6099E","public"
"hash_sha256","105E58C4C04B56607BADD705411E3322C152B8DBB21D994E7CDEC62253A0E454","public"
"hash_sha256","136836F64F7559868E01DB4CBBEF9F90F81BDEA1278D6605FA13654134279E0C","public"
"hash_sha256","14F4AF20EBC25DE51B91017510922A05AB4B82F04271EDE2298A64E4AEBEC65D","public"
"hash_sha256","160036783C4E7BE0A1C9032EC876D47F8B898A0555AF4E5FFF2EE19A189DFD49","public"
"hash_sha256","16F854F6399F1C104446D3A3E2D25EB2088BF665186D892903F50FF4ED994181","public"
"hash_sha256","170DE02F1010B57AA27F35AEF82DDC5FE5A4097139333B80FE44C58EF7703C76","public"
"hash_sha256","1946D13A16AED7247ED341DB933F34B61FC9BB1DCDBD81102C9C54F0BA566851","public"
"hash_sha256","1A0AF26749F5BC21732C53FC12F3A148215C8221CBEFFE920411656F1FFE7500","public"
"hash_sha256","1BBF0E1323CFF3168B548C4A80EC40FD3BED7630DCCB7474BA4B8099DF5E79D0","public"
"hash_sha256","1CFED5E3963FD22823A63FE44BA533A014DFF9528B44C9C2B620C81963D595CE","public"
"hash_sha256","1DCD142DAF1116B6A3FAC113C638248BF2E0859BB55411CEC2256E3D6E9E94AE","public"
"hash_sha256","1E351BBAE5338F24CE217AC182317AC7A4AEE825CBAA5FE55CC347B650D2E987","public"
"hash_sha256","20762CE45B7D4F2E59F8ADF1FD91B3BC3E31C922C8AE04A92AED8529E3D15926","public"
"hash_sha256","2150F38C436EABEBD3A93B3ACE1064315153C882CE763991B6D0FB798766E0DB","public"
"hash_sha256","216E604948812DB2D5062B20504E9ACAF271D745DA544A2C5D074A5FBF111AC9","public"
"hash_sha256","231DDFA8114475892DD404F27B769AB2E43E9101EC7A7D3608546154A8B75D4D","public"
"hash_sha256","244251CAB1F6DF4BB39BA28645CBC4E26F84298B588B568A796D6520912C6156","public"
"hash_sha256","24457EE666362A72A3AF8267655413EA26B3A05DF6E768B467BDFA5FEFBAA14C","public"
"hash_sha256","24B3DEF3F374C5F17EC9F1A347C71D9C921155C878AB36E48DD096DA418BF782","public"
"hash_sha256","255062C602A36F649BAAEC922CC8B98B27854E8E90B6EE8DED660A2E4E101B77","public"
"hash_sha256","26163C7DA9F0D9000937663497D7EB15DF5C205CC2EDBB71D664F08A5B1F80CE","public"
"hash_sha256","2A3A9AB2AD245D3464B5CC1BC8270568B5C490E4972E99E8F94AB2177874D81A","public"
"hash_sha256","2A3F76FC7F953403653EFF71F21C16D40512C1BCD7A038657BB1D0A4EFBEE677","public"
"hash_sha256","2B2BDD167A27F642D5826AFE3BCC4E293DFFBFEE7AC58D3195DFA2B9B9FAC41E","public"
"hash_sha256","2B74674587A65CFC9C2C47865CA8128B4F7E47142BD4F53ED6F3CB5CF37F7A6B","public"
"hash_sha256","2BFA87DEE2000F4E7889174F051AB88F4B690D08629B94721E321C44B7CF1BD3","public"
"hash_sha256","2C9895FBDF8B86715A8E501F85D206B28CF9B61478826409A8A8EA17A067DA22","public"
"hash_sha256","2D83C4D620866F4AE647ED6A70113686BB7B80B1A7BBDCF544FD0FFEC105C4A6","public"
"hash_sha256","2E846B8861D66D9BCAAF9615DC03798CF7F9C3231F2A1D2D31E3E652B954D4F5","public"
"hash_sha256","2FEE5916DAD509FF4FEA4F4B17795677BDA7316253111B2ABF7F523BAE2A973E","public"
"hash_sha256","3068DB7B9B198A82971A353CEC4DD775257DD35358745BD471C6784ACB05297E","public"
