type,value,source
ip,130.131.160.24,ForeScout
ip,135.119.17.221,ForeScout
ip,135.233.112.100,ForeScout
ip,172.212.216.128,ForeScout
ip,172.212.219.49,ForeScout
ip,20.118.200.88,ForeScout
ip,20.118.33.20,ForeScout
ip,20.15.201.23,ForeScout
ip,20.150.192.195,ForeScout
ip,20.150.192.39,ForeScout
ip,20.150.202.153,ForeScout
ip,20.150.202.55,ForeScout
ip,20.150.205.154,ForeScout
ip,20.163.15.93,ForeScout
ip,20.163.2.229,ForeScout
ip,20.163.57.193,ForeScout
ip,20.163.60.206,ForeScout
ip,20.163.74.20,ForeScout
ip,20.168.121.119,ForeScout
ip,20.169.105.57,ForeScout
ip,20.169.48.134,ForeScout
ip,20.169.48.59,ForeScout
ip,20.171.29.48,ForeScout
ip,20.171.30.196,ForeScout
ip,20.171.30.224,ForeScout
ip,20.171.9.108,ForeScout
ip,20.29.24.163,ForeScout
ip,20.29.42.207,ForeScout
ip,20.46.234.65,ForeScout
ip,20.65.193.234,ForeScout
ip,20.65.194.105,ForeScout
ip,20.65.194.9,ForeScout
ip,20.65.195.124,ForeScout
ip,20.65.195.20,ForeScout
ip,20.98.152.33,ForeScout
ip,40.67.161.44,ForeScout
ip,52.248.40.89,ForeScout
ip,13.228.100.218,ForeScout
ip,13.58.39.15,ForeScout
ip,18.142.70.42,ForeScout
ip,18.159.188.112,ForeScout
ip,18.204.33.8,ForeScout
ip,3.12.99.176,ForeScout
ip,3.19.125.50,ForeScout
ip,3.229.147.107,ForeScout
ip,3.65.236.123,ForeScout
ip,3.65.237.228,ForeScout
ip,3.77.117.203,ForeScout
ip,34.193.126.209,ForeScout
ip,35.157.196.116,ForeScout
ip,52.74.236.95,ForeScout
ip,163.172.146.243,ForeScout
ip,212.28.183.85,ForeScout
ip,212.47.227.221,ForeScout
ip,212.56.34.86,ForeScout
ip,31.220.89.227,ForeScout
ip,51.15.223.138,ForeScout
ip,51.158.64.240,ForeScout
ip,51.158.97.138,ForeScout
ip,89.117.18.228,ForeScout
ip,89.117.18.230,ForeScout
ip,94.72.102.203,ForeScout
ip,94.72.102.225,ForeScout
ip,94.72.102.253,ForeScout
ip,47.97.42.177,ForeScout
ip,49.232.93.226,ForeScout
ip,8.210.65.56,ForeScout
