"type","value","source"
"hash_sha1","A4AAD0E2AC1EE0C8DD25968FA4631805689757B6","public"
"hash_md5","00D6A804DA6A61292BCEB123942117D5","public"
"hash_md5","063770F7E7EB52D83C97AA63C0A6F8A6","public"
"hash_md5","100454B6AE298627606D54D2427524C2","public"
"hash_md5","11EE26E1FA93D7C31197D8D28509DF59","public"
"hash_md5","171F097C66EE0C6A69DDE5DA994ED8A7","public"
"hash_md5","23F7FB65686671E0B0BBC2AE9ABEC626","public"
"hash_md5","27F97EE371BB31238B9F945BDC4CCF65","public"
"hash_md5","2D007C5BD0B84CA9C9B4C6B4C17BD997","public"
"hash_md5","2F6BC7F137C689ADD399402E485AA604","public"
"hash_md5","2FAA07A3BABBE6E46107468E5B1D0B85","public"
"hash_md5","44A57A7C388AF4D96771AB23E85B7F1E","public"
"hash_md5","465015009FA6D66A52CC670E2941EDCD","public"
"hash_md5","4EEDC056F970FCE35E425F4CC80C1FC6","public"
"hash_md5","595CCC44BC6BE7FB3F1EB98B724B0DE0","public"
"hash_md5","5A8FF502D94FE51BA84E4C0627D43791","public"
"hash_md5","5D3E3160E8CE03661150451E4A2EF5E0","public"
"hash_md5","65DCA8F16286C2E1FD7BF5ED52796C54","public"
"hash_md5","68F7A7C642AB9A58B42AF4416052CAA8","public"
"hash_md5","6D08BAB1D4418DB2A0B28D6D125181AC","public"
"hash_md5","6FC8F7E528C272C957AE4E2548C3AAD3","public"
"hash_md5","7FD5258B5056A46340E28463FEB2A956","public"
"hash_md5","8A95DA943B4D02A01B61E5B422338B81","public"
"hash_md5","90C0FB97727C73C7B260A13AE5E01AD4","public"
"hash_md5","9F42BD90075E8A51B46AF9315D11A1C7","public"
"hash_md5","9FCBCF340267782DCF99E4D4995954BE","public"
"hash_md5","A7DA2ADF356A9055C3E827A22F817405","public"
"hash_md5","AF490E6E66D30E6C14E48BA968F50EDF","public"
"hash_md5","B55E8E1D84D03FFE885E63A53A9ACC7D","public"
"hash_md5","B5E61B541D09BD198A0F628F7D91E001","public"
"hash_md5","B9C99F411F7B23D50A8311CE85820353","public"
"hash_md5","C1CDCA4F765F38675A4C4DFC5E5F7E59","public"
"hash_md5","C1EE06AEC2A8BA13D61F443EC531FDA9","public"
"hash_md5","CCC79A123413544C916DE995E3876BBD","public"
"hash_md5","CDF7E3E4F881E9A59EDF779D408B88E8","public"
"hash_md5","D743A064F05B6B4041BDF22EAC778F21","public"
"hash_md5","D92DFA7ED017F878C5EEBFAEDC1FBEAA","public"
"hash_md5","DC40B5C914E5F41A6B4BC19831C88892","public"
"hash_md5","DD253F7403644CFA09D8E42A7120180D","public"
"hash_md5","E262C1606EE3DB38EB80158F624EEDA8","public"
"hash_md5","E5A7D0DF12094E9DB90242092891B10E","public"
"hash_md5","E9EF648F689E1CCAAE5507500E7F9ECF","public"
"hash_md5","ED71945940182F5B249542BFCC5DF2F8","public"
"hash_md5","FF14BA2E10A6C1D183FAB730B0ACAEB3","public"
"domain","0daydreams.net","public"
"domain","42dtw6kxl5zxfpo25yknm2hmqndafoqynk3m6j2luvhi4epeex6arvyd.onion","public"
"domain","4ufbghkgmeb7nevhki3vf5rfwmmrb4bb52xcw2qwbh3qo4x773ttnhqd.onion","public"
"domain","api.glazeceramics.com","public"
"domain","comdoc1.docu-duplicator.com","public"
"domain","dashboard-salesforce.com","public"
"domain","doc2.docu-duplicator.com","public"
"domain","journalctd.live","public"
"domain","rivatalk.net","public"
"domain","safesurf.fastdomain-uoemathhvq.workers.dev","public"
"domain","ticket-audemarspiguet.com","public"
"ip","104.129.137.162","public"
"ip","118.97.151.34","public"
"ip","173.44.141.89","public"
"ip","180.254.147.16","public"
"ip","180.254.155.227","public"
"ip","185.77.225.174","public"
"ip","20.207.197.237","public"
"ip","207.180.194.109","public"
"ip","23.120.100.230","public"
"ip","31.206.51.194","public"
"ip","45.227.254.113","public"
"ip","45.43.91.10","public"
"ip","91.107.174.190","public"
"ip","94.131.109.91","public"
"ip","96.30.124.103","public"
"ip","96.67.212.83","public"
"hash_sha256","01A94F7403E9E8CBE1CAB08C4A1730E79E129D4C24193100292F69ED0D1979A9","public"
"hash_sha256","03122E46A3E48141553E7567C659642B1938B2D3641432F916375C163DF819C1","public"
"hash_sha256","048B2BAFB871B586E895A0749CA74A6EBF47D1901B35730097C7A981D868772E","public"
"hash_sha256","04B6A4C58FF8DB639125A8277E7A3E8FB00100DD88F299896E24AC0FCA928460","public"
"hash_sha256","05D79A474DFE20FBB433806E215D78B31CF8574CD955588FB15CADBF720BF3C7","public"
"hash_sha256","05ECF871C7382B0C74E5BAC267BB5D12446F52368BB1BFE5D2A4200D0F43C1D8","public"
"hash_sha256","07B8120B557816182EA185E9D20B61445601C20C874761C41C4AB9A12D596886","public"
"hash_sha256","082FBF96C546FA58CCB72316A55B2C913EF9F551F7E761C7232A1477C14E6BB6","public"
