type,value,source
url,fc-checker.dlccdn.com,public
hash_sha256,88e68b631df57cb851876093056a41325800e29111dcfe93d1568074004d9b87,public
hash_sha256,f0d04f39cc5ebfec06508460fb77e85c9221e2b0c46f2ca913ffc7f96604e9d8,public
hash_sha256,26782317a40a1a03ed037527f8a86a803f01bbdd10734c59c453145b2e2ddc4b,public
hash_sha256,013a099394582a6cb0e556b871177de0e42feb281b49e0099cbedfc35e80545c,public
hash_sha256,1f358b6534bfdbb412a432138ea1edeef0e7a0cd88cd0a79568204eb875bd953,public
hash_sha256,170c84c184b8b9edb698d941a893eab49f753257af3a86bc9037d97d15b02121,public
domain,fc-update.azurewebsites.net,public
domain,fc-checker.dlccdn.com,public
ip,3.73.38.245,public
