type,value,source
ip,104.247.82.11,Unit42
ip,105.101.56.49,Unit42
ip,105.158.12.236,Unit42
ip,134.209.48.68,Unit42
ip,137.220.61.53,Unit42
ip,138.68.27.0,Unit42
ip,146.190.44.66,Unit42
ip,149.28.125.96,Unit42
ip,157.245.4.113,Unit42
ip,159.223.208.47,Unit42
ip,159.223.238.0,Unit42
ip,162.19.135.215,Unit42
ip,164.92.234.104,Unit42
ip,165.22.201.77,Unit42
ip,167.99.221.10,Unit42
ip,172.96.11.245,Unit42
ip,185.56.80.28,Unit42
ip,188.166.92.55,Unit42
ip,193.149.129.177,Unit42
ip,207.148.0.54,Unit42
ip,213.226.123.104,Unit42
ip,35.175.153.217,Unit42
ip,45.156.85.140,Unit42
ip,45.32.221.250,Unit42
ip,64.227.30.114,Unit42
ip,79.137.196.160,Unit42
ip,92.99.114.231,Unit42
