"type","value","source"
"url","https://api.maranhaogang.fun/infect","public"
"url","https://api.maranhaogang.fun/upload","public"
"url","https://api.maranhaogang.fun/victim","public"
"url","https://api.maranhaogang.fun:443/socket.io/?id=undefined&EIO=4&transport=","public"
"domain","actualitesmaintenant.fr","public"
"domain","actualitespourtous.fr","public"
"domain","actualitespourtous.fr.expressactus.fr","public"
"domain","actubretagne.fr","public"
"domain","actudirecte.fr","public"
"domain","actuiledefrance.fr.nouvelle-aquitaine-aujourdhui.fr","public"
"domain","actus-independantes.fr","public"
"domain","actus-sanscensure.fr","public"
"domain","actus-sanscensure.fr.infos-encontinu.fr","public"
"domain","actus24.fr","public"
"domain","actusetinfosdupays.fr.frmedialive.fr","public"
"domain","adobepdfonlinereadercaptcharobot.netlify.app","public"
"domain","affichedujour.fr","public"
"domain","agorahexagone.fr","public"
"domain","alohadigest.com","public"
"domain","ame-nationale.fr","public"
"domain","ame-nationale.fr.savoirtout.fr","public"
"domain","api.maranhaogang.fun","public"
"domain","ardennesinfolive.fr","public"
"domain","ardennesinfolive.fr.vosges-enligne.fr","public"
"domain","basvursana2025hemen.vercel.app","public"
"domain","bayoucitycrier.com","public"
"domain","bayoucitytoday.com","public"
"domain","bref-france24.fr","public"
"domain","bref-france24.fr.visiondelafrance.fr","public"
"domain","capitalcitydaily.com","public"
"domain","capitoldaily.news","public"
"domain","captcha-link-gateway.lovable.app","public"
"domain","captcha-math-linker.lovable.app","public"
"domain","captcha-office-redirect.lovable.app","public"
"domain","captcha200.netlify.app","public"
"domain","captchaweb3.netlify.app","public"
"domain","chroniquesfrancaises.fr","public"
"domain","chronoinfo.fr","public"
"domain","courrierfrance24.fr","public"
"domain","dailyweekly.news","public"
"domain","direct-nouvelles.fr","public"
"domain","echorhonealpes.fr","public"
"domain","editorialesactus.fr","public"
"domain","editorialesactus.fr.francechronique.fr","public"
"domain","evenementsetactus.fr","public"
"domain","flash-actualites.fr","public"
"domain","flash-actualites.fr.francechronique.fr","public"
"domain","flash-bourgognefranchecomte.fr","public"
"domain","flash-bourgognefranchecomte.fr.nouvelle-aquitaine-aujourdhui.fr","public"
"domain","fldaily.news","public"
"domain","flga.news","public"
"domain","france-aujourdhui.fr","public"
"domain","france-droite.fr","public"
