type,value,source
ip,34.145.16.68,public
ip,36.72.153.32,public
ip,45.130.83.119,public
ip,45.130.83.131,public
ip,45.130.83.132,public
ip,45.130.83.133,public
ip,45.130.83.134,public
ip,45.130.83.137,public
ip,45.130.83.150,public
ip,45.130.83.238,public
ip,45.130.83.239,public
ip,45.130.83.240,public
ip,45.130.83.241,public
ip,45.130.83.242,public
ip,45.130.83.243,public
ip,45.130.83.244,public
ip,45.130.83.245,public
ip,45.130.83.246,public
ip,45.130.83.247,public
ip,45.130.83.248,public
ip,45.130.83.249,public
ip,45.130.83.250,public
ip,45.130.83.251,public
ip,45.8.19.99,public
ip,45.8.19.101,public
ip,45.8.19.103,public
ip,45.8.19.104,public
ip,45.8.19.107,public
ip,45.8.19.108,public
ip,45.92.229.203,public
ip,45.92.229.205,public
ip,45.92.229.206,public
ip,45.92.229.209,public
ip,45.92.229.212,public
ip,45.92.229.218,public
ip,45.92.229.220,public
ip,54.158.129.118,public
ip,63.135.161.45,public
ip,63.135.161.46,public
ip,63.135.161.49,public
ip,63.135.161.51,public
ip,63.135.161.53,public
ip,63.135.161.54,public
ip,63.135.161.55,public
ip,63.135.161.56,public
ip,63.135.161.58,public
ip,63.135.161.59,public
ip,63.135.161.60,public
ip,63.135.161.61,public
ip,63.135.161.63,public
ip,63.135.161.64,public
ip,63.135.161.65,public
ip,63.135.161.68,public
ip,63.135.161.69,public
ip,63.135.161.71,public
ip,63.135.161.72,public
ip,63.135.161.73,public
ip,63.135.161.74,public
ip,63.135.161.75,public
ip,63.135.161.110,public
ip,63.135.161.111,public
ip,63.135.161.112,public
ip,63.135.161.113,public
ip,63.135.161.114,public
ip,63.135.161.115,public
ip,63.135.161.116,public
ip,63.135.161.117,public
ip,63.135.161.118,public
ip,63.135.161.119,public
ip,63.135.161.120,public
ip,63.135.161.121,public
ip,63.135.161.122,public
ip,63.135.161.123,public
ip,63.135.161.129,public
ip,64.64.116.169,public
ip,85.237.194.218,public
ip,85.237.194.223,public
ip,85.237.194.231,public
ip,85.237.194.233,public
ip,85.237.194.237,public
ip,85.237.194.240,public
ip,85.237.194.249,public
ip,85.237.194.250,public
ip,86.48.10.113,public
ip,89.108.82.105,public
ip,94.131.106.251,public
ip,98.159.224.12,public
ip,98.159.224.13,public
ip,98.159.224.14,public
ip,98.159.224.15,public
ip,98.159.224.16,public
ip,98.159.224.60,public
ip,98.159.224.61,public
ip,98.159.224.62,public
ip,98.159.224.63,public
ip,98.159.224.64,public
ip,98.97.79.212,public
ip,98.97.79.246,public
ip,102.215.57.82,public
ip,103.178.2.52,public
ip,104.234.53.207,public
ip,104.234.53.208,public
ip,104.234.53.210,public
ip,104.234.53.211,public
ip,104.234.53.212,public
ip,104.234.53.213,public
ip,104.234.53.215,public
ip,104.234.53.216,public
ip,104.234.53.217,public
ip,104.234.53.219,public
ip,104.234.53.221,public
ip,104.234.53.223,public
ip,104.234.53.224,public
ip,104.234.53.225,public
ip,104.234.53.226,public
ip,109.166.49.185,public
ip,114.125.76.5,public
ip,128.199.219.23,public
ip,159.223.58.222,public
ip,173.239.204.177,public
ip,173.239.204.190,public
ip,173.239.204.191,public
ip,173.239.204.192,public
ip,173.239.204.193,public
ip,173.239.204.195,public
ip,173.239.211.35,public
ip,173.239.211.36,public
ip,173.239.211.37,public
ip,173.239.211.38,public
ip,173.239.211.39,public
ip,173.239.211.40,public
ip,173.239.211.41,public
ip,173.239.211.42,public
ip,173.239.211.43,public
ip,173.239.211.44,public
ip,173.239.211.45,public
ip,173.239.211.46,public
ip,173.239.211.47,public
ip,173.239.211.48,public
ip,173.239.211.49,public
ip,173.239.211.50,public
ip,173.239.211.51,public
ip,173.239.211.52,public
ip,173.239.211.53,public
ip,173.239.211.54,public
ip,173.239.211.55,public
ip,173.239.211.113,public
ip,173.239.211.119,public
ip,173.239.211.139,public
ip,173.239.211.146,public
ip,174.215.21.14,public
ip,180.249.154.73,public
ip,180.249.154.162,public
ip,180.251.238.103,public
ip,182.1.66.249,public
ip,182.1.73.253,public
ip,182.1.74.253,public
ip,182.1.84.253,public
ip,182.1.88.149,public
ip,182.1.88.42,public
ip,182.1.90.233,public
ip,182.1.94.225,public
ip,184.82.129.170,public
ip,185.238.231.106,public
ip,197.253.58.225,public
ip,197.253.58.226,public
ip,197.253.58.227,public
ip,197.253.58.228,public
ip,197.253.58.229,public
ip,199.101.196.67,public
ip,199.101.196.68,public
ip,199.101.196.79,public
ip,199.101.196.80,public
ip,208.95.72.30,public
ip,216.73.160.1,public
ip,216.73.160.2,public
ip,216.73.160.12,public
ip,216.73.160.14,public
ip,216.73.160.15,public
ip,216.73.160.16,public
ip,216.73.160.155,public
ip,216.73.160.158,public
ip,216.73.160.159,public
ip,216.73.160.160,public
ip,216.73.160.161,public
ip,216.73.160.164,public
ip,216.73.160.165,public
ip,216.73.160.168,public
ip,216.73.160.170,public
ip,216.73.160.171,public
ip,216.73.160.172,public
ip,216.73.160.173,public
ip,216.73.161.170,public
ip,217.142.185.26,public
