"type","value","source"
"domain","19ak90ckxyjxc.life","public"
"domain","7oo4hxt5haih5.life","public"
"domain","85ur7zivhczam.life","public"
"domain","8sg769rvpe1lp.life","public"
"domain","8vh7uizstjhnb.life","public"
"domain","9b10t4vyvx6b5.life","public"
"domain","9nl2a1qma4swd.life","public"
"domain","9vgvnzk51j1sy.life","public"
"domain","acceleratetomb.xyz","public"
"domain","accomodateyours.com","public"
"domain","apsgw881ol7rs.life","public"
"domain","cambertech.xyz","public"
"domain","cccodes.cloud","public"
"domain","cdn.lgaircon.xyz","public"
"domain","cleanupharm.com","public"
"domain","cp2br7osw928r.life","public"
"domain","e4hwk3w4ztqfkyo6l36ss3tfj4bw2jw4ytkmomkx2ugwjgrs4w3lriid.onion","public"
"domain","encryptalert.com","public"
"domain","evzftxl2qjfj4.life","public"
"domain","extuilowelevid.com","public"
"domain","ey8axyn00x8sf.life","public"
"domain","ey9n44bwtmjaw.life","public"
"domain","fabiansec.com","public"
"domain","fconnect.s3.amazonaws.com","public"
"domain","gc9fctjq62t2e.life","public"
"domain","hoieva2gl9tzx.life","public"
"domain","impliednauseous.com","public"
"domain","impliednauseous.xyz","public"
"domain","inkja7hekgcuv.life","public"
"domain","iyuggdvguyt4f4hdk6eudwcdtlsw3ixi5thzhqb6fpydw6jblf3sxlyd.onion","public"
"domain","j34duklow92k3.life","public"
"domain","jbrprj8im7aia.life","public"
"domain","jetmf.com","public"
"domain","jidoscn.sbs","public"
"domain","kks80hyrpbmuz.life","public"
"domain","leak.eneu.io","public"
"domain","lgaircon.xyz","public"
"domain","lhunevjdxw5kz.life","public"
"domain","lockbitfskq2fxclyfrop5yizyxpzu65w7pphsgthawcyb4gd27x62id.onion","public"
"domain","lockbitfss2w7co3ij6am6wox4xcurtgwukunx3yubcoe5cbxiqakxqd.onion","public"
"domain","lockbitfsvf75glg226he5inkfgtuoakt4vgfhd7nfgghx5kwz5zo3ad.onion","public"
"domain","lockbitspbsvke7ucgvegltl4acagjjjfkhoi4efxti7gyw742jgjeyd.onion","public"
