"type","value","source"
"domain","668th.com","public"
"domain","798.toptopkm88.com","public"
"domain","89vq.me","public"
"domain","aafd.tv","public"
"domain","all.targetedtrafficcrew.com","public"
"domain","bb.vdfskis888.com","public"
"domain","br.ruicaisiwang.com","public"
"domain","br.zmdesf.cn","public"
"domain","brcknkblue.com","public"
"domain","bryyds.com","public"
"domain","checkponit.com","public"
"domain","chem-db.com","public"
"domain","community.rmobileappdevelopment.workers.dev","public"
"domain","coronavg99.xyz","public"
"domain","cvsend.resumeexpert.cloud","public"
"domain","datascience.iotconnectivity.workers.dev","public"
"domain","eglotanygfa.vip","public"
"domain","ferp.googledns.io","public"
"domain","fortineat.com","public"
"domain","googleseo.life","public"
"domain","hk-dns.secssl.com","public"
"domain","hk-dns.winsiked.com","public"
"domain","hk-dns.wkossclsaleklddeff.io","public"
"domain","hk-dns.wkossclsaleklddeff.is","public"
"domain","html.aafd.tv","public"
"domain","js.cloudflare.cyou","public"
"domain","js.officefonts-clo.com","public"
"domain","js.targetedtrafficcrew.com","public"
"domain","jsc.bet277.vip","public"
"domain","jsc.olacityviet.com","public"
"domain","jumpsexxx.com","public"
"domain","ldy.vdfskis888.com","public"
"domain","link.topck008.com","public"
"domain","link.toptoplm88.com","public"
"domain","link.vdfskis888.com","public"
"domain","live.itsmartuniverse.workers.dev","public"
"domain","ll.olacityviet.com","public"
"domain","lucky.668823.com","public"
"domain","mia.nl.tab.digital","public"
"domain","newth.googlecache.cc","public"
"domain","newthmap.googlecache.cc","public"
"domain","phpmap.googlecache.cc","public"
"domain","poster.checkponit.com","public"
"domain","proxy.xxxx.com","public"
"domain","qiqiguaiguai2.xyz","public"
"domain","s995.vip","public"
"domain","se2.ggseocdn.com","public"
"domain","se2.ggseocdn2.com","public"
"domain","site.toptopkm88.com","public"
"domain","sitemap.bet277.vip","public"
"domain","sitemap1.bet277.vip","public"
"domain","six2fc.com","public"
"domain","sm.vbigdatasolutions.workers.dev","public"
"domain","spider.xxxx.com","public"
"domain","support.fortineat.com","public"
"domain","support.vmphere.com","public"
"domain","tdk.798love.com","public"
"domain","tdkgpt.yyds6686.com","public"
"domain","th.ntxx.cn","public"
"domain","topck008.com","public"
"domain","tz123.app","public"
"domain","update.hobiter.com","public"
"domain","vg9920.store","public"
"domain","vn.coronavg99.com","public"
"domain","vn6789sky.com","public"
"domain","vnfll22.keeploong.com","public"
"domain","wailian.brcknkblue.com","public"
"domain","wailian.eglotanygfa.vip","public"
"domain","wailian.vn6789sky.com","public"
"domain","wailian.zavinac.net","public"
"domain","www.jumpiis8.com","public"
"domain","www.m2313.com","public"
"domain","www.xiagao886.com","public"
"domain","www.xxxx.vip","public"
"domain","yitongmingde.com","public"
"domain","yyds.tmpdrsh.com","public"
"domain","zavinac.net","public"
"hash_md5","CB801EF4D92394F984F726C9FC4F8315","public"
"hash_sha1","23E6D0FD3BBC71C0188ACAB43D454C39FA56D206","public"
"hash_sha1","D7B115003784AC2A595083795ABFFE68D834CDF0","public"
"url","http://78.135.93.123/yaarsa/private/yarsap_80541.php","public"
"url","http://jilas.net/files/222.txt","public"
"url","http://server.yaarsa.com/con","public"
"url","https://cvsend.resumeexpert.cloud/id/45bc4c3c-e212-43ab-a5d3-1a668c2df00e/kAal108","public"
"url","https://github.com/Sam-cpu999/stuff/raw/main/MEMZ.exe","public"
"url","https://pghnetworks.com/wp-content/uploads/2018/06/Blog-pic.jpg","public"
"url","https://th.bing.com/th/id/OIP.nQu9CQ9gM84Pblh6AgykIgHaHa?rs=1&pid=ImgDetMain","public"
"url","https://thugging.org/static/3.mp4","public"
"url","https://thugging.org/static/kkk.png","public"
"url","https://tvipguncelpro.com","public"
"hash_sha256","01577F5B0869154FB678BCF86EEF50AFCEB5FC189C87B2085FE5FCDF74CD6FF0","public"
"hash_sha256","02DBA6F34480EAC1D27C83A4FF06E3BA03FC63FCF3067E0957375BFD182ED39B","public"
"hash_sha256","02E98650E89146F0BDDF29DD73165B9993D52F966D6194D375B6F0FCF737C38A","public"
"hash_sha256","03BC0DDFA59CFA290C426396F1C5FFF45BD2C3EF90152CAFC7C662C075DFC7D8","public"
"hash_sha256","04241BC4CE9CECE5644CD7F8F86EDE7DEF5CB6122B2F3B5760C2C3556DA34A7D","public"
"hash_sha256","0455B08439CD4D4283865F3120000338D9920AA95E88448DCD3B493CC0720B10","public"
"hash_sha256","061FDBF0C61A29D31406887A40B4F6A551600F7366A711ECCE6063F61965308D","public"
"hash_sha256","071D3AD980EA77A9041C580015B2796D3D5D471C2FC1039C8F381501EFB3CDA0","public"
"hash_sha256","08F965F640A3EC1C3AA9C31033455FAD02550485D0D5B6FE33553D374775F18A","public"
"hash_sha256","0F7DF7AC22957DA6A793F641CDA611C2C2A294355D4D19B29B6920853A012D98","public"
"hash_sha256","11F0074ED041D32A56A5599ECB924F4AD87FD3B5C38BE799AAA9B8944D6F5656","public"
"hash_sha256","12E4817ABC69918B8556A4F18371C803DB3D5191031CB56F835EC33CDB12F0D9","public"
"hash_sha256","13341C5171C34D846F6D0859E8C45D8A898EB332DA41AB62BCAE7519368D2248","public"
