type,value,source
ip,142.202.188.59,Microsoft
ip,142.202.190.224,Microsoft
ip,142.202.191.98,Microsoft
ip,172.81.60.37,Microsoft
ip,172.81.60.80,Microsoft
url,https://myworkspacea2c27.myclickfunnels.com/mail---outlook,Microsoft
url,https://myworkspacea2c27.myclickfunnels.com/error-request,Microsoft
url,https://tanimarquezsteamworafe88.myclickfunnels.com/homeg,Microsoft
url,https://jaimereintsteamworkspace.myclickfunnels.com/securedfile,Microsoft
url,https://myworksspace.myclickfunnels.com/httpsoutlookofficecom--648ff,Microsoft
url,https://myworksspace.myclickfunnels.com/office--ed01f,Microsoft
url,https://batch2024.komi.io,Microsoft
url,https://bigentra.vercel.app,Microsoft
url,https://adobe.mareanebulosasao.it.com/WOWFM,Microsoft
url,https://AAQk.mareanebulosasao.it.com/mIXvy,Microsoft
url,https://et1f.g-pxyqc.ru/ZhQ29mf/,Microsoft
url,https://pamaepamsteamworkspace.myclickfunnels.com/home2,Microsoft
url,https://ryanwetzelsteamworkspace.myclickfunnels.com/verifsession,Microsoft
url,https://li.tistateronic.ru/OqgX/,Microsoft
url,https://myworksspace.myclickfunnels.com/microsoft--07f44,Microsoft
url,https://myworksspace.myclickfunnels.com/outlook--c3271,Microsoft
url,https://workspacesteamworkspace.myclickfunnels.com/outlook--1ad6d,Microsoft
url,https://workspacesteamworkspace.myclickfunnels.com/officep--89b8c,Microsoft
url,https://workspacesteamworkspace.myclickfunnels.com/outlookofficep,Microsoft
url,https://myworksspace.myclickfunnels.com/outlookoffice--144dc,Microsoft
url,https://jaimereintsteamworkspace.myclickfunnels.com/doc,Microsoft
url,https://myworkspacefea7ffc776.myclickfunnels.com/httpsoutlookofficecom,Microsoft
url,https://embeds.beehiiv.com/2bacaeae-a140-4e4a-91e8-99b0ed5c40f0,Microsoft
url,https://jaimereintsteamwork2193f.myclickfunnels.com/outlook-office365,Microsoft
url,https://kimharrysteamworkspace.myclickfunnels.com/securedocument,Microsoft
url,https://jameslarsensteamwor4757a.myclickfunnels.com/revisist,Microsoft
url,https://projectfilesteamworde93a.myclickfunnels.com/rfp,Microsoft
url,https://donnameesesteamworkcb9bb.myclickfunnels.com/sharedfiled,Microsoft
url,https://mohinderanandsteamw5d01d.myclickfunnels.com/shareddocument,Microsoft
url,https://marksilvasteamworkspace.myclickfunnels.com/shreddocument,Microsoft
url,https://donnameesesteamworkde7c3.myclickfunnels.com/dumpanjdi,Microsoft
url,https://markroysteamworkspace.myclickfunnels.com/sharedfile,Microsoft
url,https://ecklundcoreysteamwocdff5.myclickfunnels.com/shared-document,Microsoft
url,https://mohinderanandsteamw1b6c8.myclickfunnels.com/share-docx,Microsoft
url,https://myworkspacea2c27.myclickfunnels.com/quickstart,Microsoft
url,https://topboysteamworkspace.myclickfunnels.com/sahreddocumentfile,Microsoft
url,https://nmcunhasteamworkspace.myclickfunnels.com/secured-sharepoint-document,Microsoft
url,https://li.tistateronic.ru/OqgX,Microsoft
url,https://fancy-bush-61e9sydgsyi29s.jennifer-may.workers.dev,Microsoft
url,https://fly.storage.tigris.dev/log/Statement.HTM,Microsoft
url,https://log.fly.storage.tigris.dev/Statement.HTM,Microsoft
url,https://embeds.beehiiv.com/2066d619-1342-40ba-893d-6d0e6eee70d5,Microsoft
url,https://be645c1d.bentlyerool.pages.dev,Microsoft
url,https://line.infoapollocapital.buzz,Microsoft
